date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,39.31,39.7,38.91,39.7,ILMN,565942,0.0,0.0,39.7,39.31,39.7,38.91,565942,39.7,39.31,39.7,38.91,565942,0.0,0.0
2007-01-03,38.41,39.37,36.97,39.26,ILMN,1343387,-0.02289493767489203,-0.02289493767489203,39.26,38.41,39.37,36.97,1343387,39.26,38.41,39.37,36.97,1343387,-0.9000000000000057,-0.0229
2007-01-04,39.09,39.23,37.65,38.41,ILMN,717004,-0.005596540320529099,-0.005596540320529099,38.41,39.09,39.23,37.65,717004,38.41,39.09,39.23,37.65,717004,0.6800000000000068,0.0177
2007-01-05,38.61,38.99,38.11,38.71,ILMN,1239716,-0.017807173747138205,-0.017807173747138205,38.71,38.61,38.99,38.11,1239716,38.71,38.61,38.99,38.11,1239716,-0.480000000000004,-0.0123
2007-01-08,38.55,38.69,37.8,38.5,ILMN,856087,-0.019333502925464388,-0.019333502925464388,38.5,38.55,38.69,37.8,856087,38.5,38.55,38.69,37.8,856087,-0.060000000000002274,-0.0016
2007-01-09,39.49,39.5,38.37,38.9,ILMN,1247087,0.004578987534978369,0.004578987534978369,38.9,39.49,39.5,38.37,1247087,38.9,39.49,39.5,38.37,1247087,0.9400000000000048,0.0244
2007-01-10,39.32,39.38,38.5,39.15,ILMN,1239589,0.000254388196387637,0.000254388196387637,39.15,39.32,39.38,38.5,1239589,39.15,39.32,39.38,38.5,1239589,-0.1700000000000017,-0.0043
2007-01-11,39.57,40.3,39.11,39.3,ILMN,687755,0.006614093106079827,0.006614093106079827,39.3,39.57,40.3,39.11,687755,39.3,39.57,40.3,39.11,687755,0.25,0.0064
2007-01-12,39.49,39.79,39.15,39.47,ILMN,554318,0.004578987534978369,0.004578987534978369,39.47,39.49,39.79,39.15,554318,39.47,39.49,39.79,39.15,554318,-0.0799999999999983,-0.002
2007-01-16,38.78,39.69,38.55,39.42,ILMN,438428,-0.01348257440854747,-0.01348257440854747,39.42,38.78,39.69,38.55,438428,39.42,38.78,39.69,38.55,438428,-0.7100000000000009,-0.018
2007-01-17,38.89,39.25,38.34,38.59,ILMN,355312,-0.010684304248282922,-0.010684304248282922,38.59,38.89,39.25,38.34,355312,38.59,38.89,39.25,38.34,355312,0.10999999999999943,0.0028
2007-01-18,38.9,39.38,38.79,39.04,ILMN,643759,-0.010429916051895286,-0.010429916051895286,39.04,38.9,39.38,38.79,643759,39.04,38.9,39.38,38.79,643759,0.00999999999999801,0.0003
2007-01-19,39.5,39.54,38.2,38.79,ILMN,782568,0.004833375731366007,0.004833375731366007,38.79,39.5,39.54,38.2,782568,38.79,39.5,39.54,38.2,782568,0.6000000000000014,0.0154
2007-01-22,40.55,40.59,39.4,39.5,ILMN,1735163,0.031544136352073135,0.031544136352073135,39.5,40.55,40.59,39.4,1735163,39.5,40.55,40.59,39.4,1735163,1.0499999999999972,0.0266
2007-01-23,40.98,41.74,40.59,40.96,ILMN,1543690,0.04248282879674369,0.04248282879674369,40.96,40.98,41.74,40.59,1543690,40.96,40.98,41.74,40.59,1543690,0.4299999999999997,0.0106
2007-01-24,40.95,41.31,40.77,40.95,ILMN,871075,0.04171966420758078,0.04171966420758078,40.95,40.95,41.31,40.77,871075,40.95,40.95,41.31,40.77,871075,-0.02999999999999403,-0.0007
2007-01-25,40.08,41.01,39.79,40.87,ILMN,724422,0.019587891121851844,0.019587891121851844,40.87,40.08,41.01,39.79,724422,40.87,40.08,41.01,39.79,724422,-0.8700000000000045,-0.0212
2007-01-26,39.22,40.07,38.87,39.92,ILMN,1256266,-0.0022894937674892753,-0.0022894937674892753,39.92,39.22,40.07,38.87,1256266,39.92,39.22,40.07,38.87,1256266,-0.8599999999999994,-0.0215
2007-01-29,39.42,39.9,38.85,39.01,ILMN,777760,0.0027982701602645493,0.0027982701602645493,39.01,39.42,39.9,38.85,777760,39.01,39.42,39.9,38.85,777760,0.20000000000000284,0.0051
2007-01-30,39.5,40.03,39.21,39.42,ILMN,1088608,0.004833375731366007,0.004833375731366007,39.42,39.5,40.03,39.21,1088608,39.42,39.5,40.03,39.21,1088608,0.0799999999999983,0.002
2007-01-31,40.85,41.47,39.26,39.57,ILMN,1380013,0.03917578224370387,0.03917578224370387,39.57,40.85,41.47,39.26,1380013,39.57,40.85,41.47,39.26,1380013,1.3500000000000014,0.0342
2007-02-01,41.56,42.19,40.86,40.94,ILMN,2768750,0.057237344187229706,0.057237344187229706,40.94,41.56,42.19,40.86,2768750,40.94,41.56,42.19,40.86,2768750,0.7100000000000009,0.0174
2007-02-02,37.17,38.38,35.87,37.7,ILMN,6309290,-0.05443907402696516,-0.05443907402696516,37.7,37.17,38.38,35.87,6309290,37.7,37.17,38.38,35.87,6309290,-4.390000000000001,-0.1056
2007-02-05,35.19,36.25,34.54,36.19,ILMN,4249144,-0.1048079369117274,-0.1048079369117274,36.19,35.19,36.25,34.54,4249144,36.19,35.19,36.25,34.54,4249144,-1.980000000000004,-0.0533
2007-02-06,35.57,36.08,35.02,35.02,ILMN,1937297,-0.0951411854489952,-0.0951411854489952,35.02,35.57,36.08,35.02,1937297,35.02,35.57,36.08,35.02,1937297,0.38000000000000256,0.0108
2007-02-07,36.36,36.62,35.58,36.62,ILMN,1553183,-0.07504451793436791,-0.07504451793436791,36.62,36.36,36.62,35.58,1553183,36.62,36.36,36.62,35.58,1553183,0.7899999999999991,0.0222
2007-02-08,35.19,36.15,35.19,36.1,ILMN,1847677,-0.1048079369117274,-0.1048079369117274,36.1,35.19,36.15,35.19,1847677,36.1,35.19,36.15,35.19,1847677,-1.1700000000000017,-0.0322
