date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2007-01-03,30.45,31.1,30.34,30.58,JCI,5770600.0,0.0,0.0,30.58,30.45,31.1,30.34,5770600,6.917196,6.88779,7.034820000000001,6.862908,5770600.0,0.0,0.0
2007-01-05,30.35,30.71,30.1,30.66,JCI,3353100.0,-0.003284072249589421,-0.003284072249589421,30.66,30.35,30.71,30.1,3353100,6.9352920000000005,6.865170000000001,6.946602,6.80862,3353100.0,-0.09999999999999787,-0.0033
2007-01-08,30.87,30.9,30.47,30.76,JCI,4731100.0,0.013793103448275919,0.013793103448275919,30.76,30.87,30.9,30.47,4731100,6.957912,6.982794,6.98958,6.892314,4731100.0,0.5199999999999996,0.0171
2007-01-10,31.46,31.56,31.0,31.07,JCI,4410800.0,0.03316912972085391,0.03316912972085391,31.07,31.46,31.56,31.0,4410800,7.028034000000001,7.116252,7.138872,7.0122,4410800.0,0.5899999999999999,0.0191
2007-01-11,32.15,32.32,31.44,31.44,JCI,6847000.0,0.05582922824302133,0.05582922824302133,31.44,32.15,32.32,31.44,6847000,7.111728,7.27233,7.310784000000001,7.111728,6847000.0,0.6899999999999977,0.0219
2007-01-12,31.62,32.27,31.42,32.18,JCI,6329400.0,0.038423645320197104,0.038423645320197104,32.18,31.62,32.27,31.42,6329400,7.279116,7.152444000000001,7.299474000000001,7.107204000000001,6329400.0,-0.5299999999999976,-0.0165
2007-01-16,31.61,31.69,31.43,31.62,JCI,3009000.0,0.0380952380952381,0.0380952380952381,31.62,31.61,31.69,31.43,3009000,7.152444000000001,7.150182,7.168278000000001,7.109466,3009000.0,-0.010000000000001563,-0.0003
2007-01-18,31.28,31.68,31.23,31.43,JCI,3110400.0,0.027257799671592836,0.027257799671592836,31.43,31.28,31.68,31.23,3110400,7.109466,7.0755360000000005,7.166016,7.064226000000001,3110400.0,-0.3299999999999983,-0.0104
2007-01-19,30.74,31.32,30.65,31.28,JCI,5964300.0,0.009523809523809495,0.009523809523809495,31.28,30.74,31.32,30.65,5964300,7.0755360000000005,6.953388,7.084584,6.9330300000000005,5964300.0,-0.5400000000000027,-0.0173
2007-01-22,30.56,30.96,30.51,30.75,JCI,4582100.0,0.0036124794745484214,0.0036124794745484214,30.75,30.56,30.96,30.51,4582100,6.95565,6.912672,7.003152000000001,6.901362000000001,4582100.0,-0.17999999999999972,-0.0059
2007-01-23,30.85,30.97,30.5,30.55,JCI,5300700.0,0.013136288998358035,0.013136288998358035,30.55,30.85,30.97,30.5,5300700,6.910410000000001,6.978270000000001,7.005414,6.899100000000001,5300700.0,0.2900000000000027,0.0095
2007-01-24,31.0,31.25,30.95,31.1,JCI,5646000.0,0.018062397372742223,0.018062397372742223,31.1,31.0,31.25,30.95,5646000,7.034820000000001,7.0122,7.0687500000000005,7.00089,5646000.0,0.14999999999999858,0.0049
2007-01-25,30.74,31.28,30.67,31.0,JCI,5583300.0,0.009523809523809495,0.009523809523809495,31.0,30.74,31.28,30.67,5583300,7.0122,6.953388,7.0755360000000005,6.937554,5583300.0,-0.26000000000000156,-0.0084
2007-01-26,30.94,31.05,30.69,30.86,JCI,3599800.0,0.01609195402298857,0.01609195402298857,30.86,30.94,31.05,30.69,3599800,6.980532,6.998628000000001,7.023510000000001,6.942078,3599800.0,0.20000000000000284,0.0065
2007-01-29,30.96,31.16,30.85,30.87,JCI,4065100.0,0.016748768472906454,0.016748768472906454,30.87,30.96,31.16,30.85,4065100,6.982794,7.003152000000001,7.048392000000001,6.978270000000001,4065100.0,0.019999999999999574,0.0006
2007-01-31,31.88,31.98,31.41,31.51,JCI,5653300.0,0.04696223316912971,0.04696223316912971,31.51,31.88,31.98,31.41,5653300,7.127562000000001,7.211256,7.233876,7.104942,5653300.0,0.9199999999999982,0.0297
2007-02-01,32.86,32.97,31.88,31.88,JCI,9134600.0,0.07914614121510674,0.07914614121510674,31.88,32.86,32.97,31.88,9134600,7.211256,7.432932,7.457814,7.211256,9134600.0,0.9800000000000004,0.0307
2007-02-02,33.0,33.04,32.59,32.77,JCI,6022200.0,0.08374384236453204,0.08374384236453204,32.77,33.0,33.04,32.59,6022200,7.412574000000001,7.464600000000001,7.473648,7.371858000000001,6022200.0,0.14000000000000057,0.0043
2007-02-05,33.21,33.29,32.78,32.83,JCI,5017700.0,0.09064039408867,0.09064039408867,32.83,33.21,33.29,32.78,5017700,7.426146,7.512102,7.530198,7.414836000000001,5017700.0,0.21000000000000085,0.0064
2007-02-06,32.59,32.98,32.49,32.98,JCI,6537900.0,0.07027914614121525,0.07027914614121525,32.98,32.59,32.98,32.49,6537900,7.460076,7.371858000000001,7.460076,7.349238000000001,6537900.0,-0.6199999999999974,-0.0187
2007-02-07,31.97,32.08,31.65,32.0,JCI,8466500.0,0.04991789819376025,0.04991789819376025,32.0,31.97,32.08,31.65,8466500,7.2384,7.231614,7.256496,7.15923,8466500.0,-0.6200000000000045,-0.019
2007-02-08,31.8,31.9,31.6,31.85,JCI,3226200.0,0.04433497536945818,0.04433497536945818,31.85,31.8,31.9,31.6,3226200,7.204470000000001,7.193160000000001,7.21578,7.147920000000001,3226200.0,-0.16999999999999815,-0.0053
2007-02-09,31.48,31.81,31.41,31.8,JCI,3860100.0,0.033825944170771796,0.033825944170771796,31.8,31.48,31.81,31.41,3860100,7.193160000000001,7.120776,7.195422,7.104942,3860100.0,-0.3200000000000003,-0.0101
2007-02-12,31.86,31.88,31.46,31.49,JCI,3514800.0,0.04630541871921183,0.04630541871921183,31.49,31.86,31.88,31.46,3514800,7.123038,7.206732000000001,7.211256,7.116252,3514800.0,0.379999999999999,0.0121
2007-02-13,31.8,32.05,31.67,31.8,JCI,4011100.0,0.04433497536945818,0.04433497536945818,31.8,31.8,32.05,31.67,4011100,7.193160000000001,7.193160000000001,7.249709999999999,7.163754000000001,4011100.0,-0.05999999999999872,-0.0019
2007-02-14,31.96,32.05,31.84,31.93,JCI,3021500.0,0.049589490968801365,0.049589490968801365,31.93,31.96,32.05,31.84,3021500,7.222566,7.229352,7.249709999999999,7.202208000000001,3021500.0,0.16000000000000014,0.005
2007-02-15,32.09,32.18,31.67,31.86,JCI,3729500.0,0.053858784893267786,0.053858784893267786,31.86,32.09,32.18,31.67,3729500,7.206732000000001,7.258758000000001,7.279116,7.163754000000001,3729500.0,0.13000000000000256,0.0041
2007-02-16,32.05,32.11,31.86,31.93,JCI,4099500.0,0.052545155993431784,0.052545155993431784,31.93,32.05,32.11,31.86,4099500,7.222566,7.249709999999999,7.263282,7.206732000000001,4099500.0,-0.04000000000000625,-0.0012
2007-02-20,31.97,32.1,31.62,32.0,JCI,2663200.0,0.04991789819376025,0.04991789819376025,32.0,31.97,32.1,31.62,2663200,7.2384,7.231614,7.261020000000001,7.152444000000001,2663200.0,-0.0799999999999983,-0.0025
2007-02-21,31.77,31.93,31.68,31.9,JCI,3027400.0,0.04334975369458129,0.04334975369458129,31.9,31.77,31.93,31.68,3027400,7.21578,7.186374000000001,7.222566,7.166016,3027400.0,-0.1999999999999993,-0.0063
2007-02-22,31.61,31.85,31.44,31.77,JCI,2658200.0,0.0380952380952381,0.0380952380952381,31.77,31.61,31.85,31.44,2658200,7.186374000000001,7.150182,7.204470000000001,7.111728,2658200.0,-0.16000000000000014,-0.005
2007-02-23,31.61,31.85,31.44,31.77,JCI,2658200.0,0.0380952380952381,0.0380952380952381,31.77,31.61,31.85,31.44,2658200,7.186374000000001,7.150182,7.204470000000001,7.111728,2658200.0,0.0,0.0
2007-02-26,32.04,32.12,31.5,31.6,JCI,4046300.0,0.052216748768472904,0.052216748768472904,31.6,32.04,32.12,31.5,4046300,7.147920000000001,7.247448,7.265544,7.1253,4046300.0,0.4299999999999997,0.0136
2007-02-27,30.74,31.7,30.53,31.68,JCI,7196900.0,0.009523809523809495,0.009523809523809495,31.68,30.74,31.7,30.53,7196900,7.166016,6.953388,7.17054,6.905886000000001,7196900.0,-1.3000000000000007,-0.0406
2007-02-28,30.83,31.14,30.5,30.66,JCI,5648100.0,0.012479474548440034,0.012479474548440034,30.66,30.83,31.14,30.5,5648100,6.9352920000000005,6.973746,7.043868000000001,6.899100000000001,5648100.0,0.08999999999999986,0.0029
2007-03-01,30.8,31.02,29.25,30.35,JCI,5455700.0,0.011494252873563265,0.011494252873563265,30.35,30.8,31.02,29.25,5455700,6.865170000000001,6.96696,7.016724,6.616350000000001,5455700.0,-0.029999999999997584,-0.001
2007-03-02,30.07,30.8,29.99,30.8,JCI,6399900.0,-0.012479474548440034,-0.012479474548440034,30.8,30.07,30.8,29.99,6399900,6.96696,6.801834,6.96696,6.783738,6399900.0,-0.7300000000000004,-0.0237
2007-03-05,29.69,30.4,29.69,29.91,JCI,4278000.0,-0.024958949096880068,-0.024958949096880068,29.91,29.69,30.4,29.69,4278000,6.765642000000001,6.715878000000001,6.87648,6.715878000000001,4278000.0,-0.379999999999999,-0.0126
2007-03-06,30.56,30.61,29.57,29.75,JCI,5305400.0,0.0036124794745484214,0.0036124794745484214,29.75,30.56,30.61,29.57,5305400,6.72945,6.912672,6.9239820000000005,6.688734,5305400.0,0.8699999999999974,0.0293
2007-03-07,30.67,30.8,30.4,30.58,JCI,3061700.0,0.00722495894909696,0.00722495894909696,30.58,30.67,30.8,30.4,3061700,6.917196,6.937554,6.96696,6.87648,3061700.0,0.11000000000000298,0.0036
2007-03-08,31.05,31.29,30.88,30.92,JCI,4006500.0,0.019704433497536995,0.019704433497536995,30.92,31.05,31.29,30.88,4006500,6.994104000000001,7.023510000000001,7.0777980000000005,6.985056,4006500.0,0.379999999999999,0.0124
2007-03-09,30.68,31.3,30.49,31.28,JCI,3328100.0,0.007553366174055843,0.007553366174055843,31.28,30.68,31.3,30.49,3328100,7.0755360000000005,6.939816,7.0800600000000005,6.896838,3328100.0,-0.370000000000001,-0.0119
2007-03-12,31.04,31.09,30.52,30.6,JCI,2458400.0,0.019376026272577992,0.019376026272577992,30.6,31.04,31.09,30.52,2458400,6.9217200000000005,7.021248,7.032558000000001,6.903624000000001,2458400.0,0.35999999999999943,0.0117
2007-03-13,30.21,31.05,30.18,30.91,JCI,3273700.0,-0.007881773399014727,-0.007881773399014727,30.91,30.21,31.05,30.18,3273700,6.991842,6.833502,7.023510000000001,6.826716,3273700.0,-0.8299999999999983,-0.0267
2007-03-14,30.85,30.9,30.21,30.32,JCI,4767200.0,0.013136288998358035,0.013136288998358035,30.32,30.85,30.9,30.21,4767200,6.88264,7.00295,7.0143,6.857670000000001,4767200.0,0.6400000000000006,0.0212
2007-03-15,30.82,31.21,30.73,30.85,JCI,2598000.0,0.01215106732348115,0.01215106732348115,30.85,30.82,31.21,30.73,2598000,7.00295,6.9961400000000005,7.08467,6.97571,2598000.0,-0.030000000000001137,-0.001
2007-03-16,30.88,31.25,30.71,31.01,JCI,5620200.0,0.014121510673234802,0.014121510673234802,31.01,30.88,31.25,30.71,5620200,7.03927,7.00976,7.09375,6.971170000000001,5620200.0,0.05999999999999872,0.0019
2007-03-20,31.38,31.47,31.05,31.18,JCI,2185100.0,0.030541871921182257,0.030541871921182257,31.18,31.38,31.47,31.05,2185100,7.07786,7.12326,7.14369,7.04835,2185100.0,0.5,0.0162
2007-03-21,31.79,31.82,31.15,31.35,JCI,2513100.0,0.04400656814449917,0.04400656814449917,31.35,31.79,31.82,31.15,2513100,7.11645,7.21633,7.22314,7.07105,2513100.0,0.41000000000000014,0.0131
2007-03-22,31.96,31.97,31.57,31.75,JCI,2716400.0,0.049589490968801365,0.049589490968801365,31.75,31.96,31.97,31.57,2716400,7.20725,7.25492,7.25719,7.166390000000001,2716400.0,0.1700000000000017,0.0053
2007-03-23,32.08,32.14,31.66,31.85,JCI,3016400.0,0.05353037766830867,0.05353037766830867,31.85,32.08,32.14,31.66,3016400,7.22995,7.28216,7.295780000000001,7.18682,3016400.0,0.11999999999999744,0.0038
2007-03-26,31.92,32.1,31.55,31.99,JCI,2838600.0,0.0482758620689656,0.0482758620689656,31.99,31.92,32.1,31.55,2838600,7.26173,7.24584,7.286700000000001,7.16185,2838600.0,-0.1599999999999966,-0.005
2007-03-27,31.29,31.75,31.17,31.69,JCI,3338000.0,0.02758620689655172,0.02758620689655172,31.69,31.29,31.75,31.17,3338000,7.193630000000001,7.10283,7.20725,7.075590000000001,3338000.0,-0.6300000000000026,-0.0197
2007-03-28,31.14,31.61,31.0,31.07,JCI,3789500.0,0.02266009852216753,0.02266009852216753,31.07,31.14,31.61,31.0,3789500,7.0528900000000005,7.06878,7.17547,7.037,3789500.0,-0.14999999999999858,-0.0048
2007-03-29,31.14,31.49,30.88,31.2,JCI,2582600.0,0.02266009852216753,0.02266009852216753,31.2,31.14,31.49,30.88,2582600,7.0824,7.06878,7.14823,7.00976,2582600.0,0.0,0.0
2007-03-30,31.55,31.65,30.9,31.18,JCI,4264100.0,0.03612479474548445,0.03612479474548445,31.18,31.55,31.65,30.9,4264100,7.07786,7.16185,7.18455,7.0143,4264100.0,0.41000000000000014,0.0132
2007-04-02,31.8,31.96,31.5,31.57,JCI,3702200.0,0.04433497536945818,0.04433497536945818,31.57,31.8,31.96,31.5,3702200,7.166390000000001,7.2186,7.25492,7.1505,3702200.0,0.25,0.0079
2007-04-03,32.16,32.23,31.76,31.86,JCI,3677900.0,0.05615763546798021,0.05615763546798021,31.86,32.16,32.23,31.76,3677900,7.23222,7.300319999999999,7.31621,7.20952,3677900.0,0.3599999999999959,0.0113
2007-04-04,32.02,32.16,31.8,32.16,JCI,2195600.0,0.051559934318555135,0.051559934318555135,32.16,32.02,32.16,31.8,2195600,7.300319999999999,7.268540000000001,7.300319999999999,7.2186,2195600.0,-0.13999999999999346,-0.0044
2007-04-05,32.15,32.32,31.76,31.92,JCI,2249500.0,0.05582922824302133,0.05582922824302133,31.92,32.15,32.32,31.76,2249500,7.24584,7.29805,7.33664,7.20952,2249500.0,0.12999999999999545,0.0041
2007-04-09,31.99,32.25,31.93,32.16,JCI,2643800.0,0.05057471264367813,0.05057471264367813,32.16,31.99,32.25,31.93,2643800,7.300319999999999,7.26173,7.32075,7.24811,2643800.0,-0.16000000000000014,-0.005
2007-04-10,32.3,32.39,31.91,32.07,JCI,3107600.0,0.060755336617405516,0.060755336617405516,32.07,32.3,32.39,31.91,3107600,7.27989,7.3321,7.352530000000001,7.24357,3107600.0,0.3099999999999987,0.0097
2007-04-11,32.29,32.35,32.02,32.21,JCI,3218100.0,0.06042692939244663,0.06042692939244663,32.21,32.29,32.35,32.02,3218100,7.31167,7.32983,7.343450000000001,7.268540000000001,3218100.0,-0.00999999999999801,-0.0003
2007-04-12,32.71,32.8,32.16,32.3,JCI,3692200.0,0.07422003284072255,0.07422003284072255,32.3,32.71,32.8,32.16,3692200,7.3321,7.42517,7.4456,7.300319999999999,3692200.0,0.4200000000000017,0.013
2007-04-13,32.55,32.77,32.43,32.68,JCI,2832700.0,0.06896551724137924,0.06896551724137924,32.68,32.55,32.77,32.43,2832700,7.41836,7.38885,7.438790000000001,7.36161,2832700.0,-0.1600000000000037,-0.0049
2007-04-16,32.57,32.89,32.37,32.75,JCI,3774000.0,0.06962233169129724,0.06962233169129724,32.75,32.57,32.89,32.37,3774000,7.43425,7.39339,7.46603,7.347989999999999,3774000.0,0.020000000000003126,0.0006
2007-04-17,32.15,32.5,31.92,32.44,JCI,4907300.0,0.05582922824302133,0.05582922824302133,32.44,32.15,32.5,31.92,4907300,7.36388,7.29805,7.3775,7.24584,4907300.0,-0.4200000000000017,-0.0129
2007-04-18,32.04,32.24,31.91,31.99,JCI,3379900.0,0.052216748768472904,0.052216748768472904,31.99,32.04,32.24,31.91,3379900,7.26173,7.27308,7.318480000000001,7.24357,3379900.0,-0.10999999999999943,-0.0034
2007-04-19,32.09,32.2,31.86,31.95,JCI,4685400.0,0.053858784893267786,0.053858784893267786,31.95,32.09,32.2,31.86,4685400,7.25265,7.284430000000001,7.309400000000001,7.23222,4685400.0,0.05000000000000426,0.0016
2007-04-23,32.48,32.65,32.2,32.31,JCI,3035400.0,0.06666666666666658,0.06666666666666658,32.31,32.48,32.65,32.2,3035400,7.334370000000001,7.37296,7.41155,7.309400000000001,3035400.0,0.38999999999999346,0.0122
2007-04-24,32.33,32.69,32.0,32.55,JCI,3573100.0,0.0617405582922824,0.0617405582922824,32.55,32.33,32.69,32.0,3573100,7.38885,7.33891,7.42063,7.264,3573100.0,-0.14999999999999858,-0.0046
2007-04-25,32.55,32.73,32.38,32.47,JCI,3862600.0,0.06896551724137924,0.06896551724137924,32.47,32.55,32.73,32.38,3862600,7.37069,7.38885,7.429709999999999,7.35026,3862600.0,0.21999999999999886,0.0068
2007-04-26,32.52,32.8,32.33,32.45,JCI,2644600.0,0.06798029556650259,0.06798029556650259,32.45,32.52,32.8,32.33,2644600,7.366150000000001,7.382040000000001,7.4456,7.33891,2644600.0,-0.02999999999999403,-0.0009
2007-04-27,32.64,32.7,32.35,32.52,JCI,3868000.0,0.0719211822660099,0.0719211822660099,32.52,32.64,32.7,32.35,3868000,7.382040000000001,7.409280000000001,7.422900000000001,7.343450000000001,3868000.0,0.11999999999999744,0.0037
2007-04-30,32.63,33.07,32.55,32.64,JCI,4902200.0,0.07159277504105101,0.07159277504105101,32.64,32.63,33.07,32.55,4902200,7.409280000000001,7.40701,7.50689,7.38885,4902200.0,-0.00999999999999801,-0.0003
2007-05-01,32.75,32.92,32.54,32.55,JCI,4357600.0,0.07553366174055831,0.07553366174055831,32.55,32.75,32.92,32.54,4357600,7.38885,7.43425,7.472840000000001,7.38658,4357600.0,0.11999999999999744,0.0037
2007-05-02,32.84,33.17,32.74,32.74,JCI,3515500.0,0.07848932676518897,0.07848932676518897,32.74,32.84,33.17,32.74,3515500,7.43198,7.454680000000001,7.529590000000001,7.43198,3515500.0,0.09000000000000341,0.0027
2007-05-03,32.85,33.0,32.7,32.97,JCI,2650000.0,0.07881773399014785,0.07881773399014785,32.97,32.85,33.0,32.7,2650000,7.48419,7.456950000000001,7.491,7.422900000000001,2650000.0,0.00999999999999801,0.0003
2007-05-04,32.81,33.09,32.73,32.92,JCI,3229400.0,0.07750410509031208,0.07750410509031208,32.92,32.81,33.09,32.73,3229400,7.472840000000001,7.447870000000001,7.511430000000001,7.429709999999999,3229400.0,-0.03999999999999915,-0.0012
2007-05-07,32.72,33.03,32.66,32.81,JCI,3707700.0,0.07454844006568143,0.07454844006568143,32.81,32.72,33.03,32.66,3707700,7.447870000000001,7.42744,7.49781,7.413819999999999,3707700.0,-0.09000000000000341,-0.0027
2007-05-08,32.05,32.85,32.01,32.7,JCI,8069200.0,0.052545155993431784,0.052545155993431784,32.7,32.05,32.85,32.01,8069200,7.422900000000001,7.275349999999999,7.456950000000001,7.26627,8069200.0,-0.6700000000000017,-0.0205
2007-05-09,32.46,32.53,32.12,32.12,JCI,7717200.0,0.06600985221674882,0.06600985221674882,32.12,32.46,32.53,32.12,7717200,7.291239999999999,7.36842,7.38431,7.291239999999999,7717200.0,0.4100000000000037,0.0128
2007-05-10,32.19,32.46,32.17,32.25,JCI,3958100.0,0.05714285714285709,0.05714285714285709,32.25,32.19,32.46,32.17,3958100,7.32075,7.30713,7.36842,7.30259,3958100.0,-0.2700000000000031,-0.0083
2007-05-11,32.53,32.73,31.95,32.18,JCI,4923400.0,0.06830870279146148,0.06830870279146148,32.18,32.53,32.73,31.95,4923400,7.304860000000001,7.38431,7.429709999999999,7.25265,4923400.0,0.3400000000000034,0.0106
2007-05-14,32.19,32.74,32.11,32.61,JCI,4826300.0,0.05714285714285709,0.05714285714285709,32.61,32.19,32.74,32.11,4826300,7.40247,7.30713,7.43198,7.28897,4826300.0,-0.3400000000000034,-0.0105
