date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,18.8848,19.0848,18.8498,19.0798,LNT,707208.9271513147,0.0,0.0,38.16,37.77,38.17,37.7,353600.0,10.902,10.7906,10.9049,10.7706,707208.9271513147,0.0,0.0
2007-01-03,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,13.9052,0.7363
2007-01-04,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-05,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-08,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-09,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-10,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-11,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-12,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-16,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-17,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-18,17.9698,18.1848,17.9298,18.0448,LNT,1135014.3273709589,-0.048451664830975134,-0.048451664830975134,36.09,35.94,36.37,35.86,567500.0,10.3106,10.2678,10.3906,10.2449,1135014.3273709589,-14.8202,-0.452
2007-01-19,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,14.8202,0.8247
2007-01-22,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-23,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-24,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-25,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-26,32.79,0.0,0.0,0.0,LNT,0.0,0.7363170380411761,0.7363170380411761,,32.79,,,,,27.90429,,,,0.0,0.0
2007-01-29,32.47,0.0,0.0,0.0,LNT,0.0,0.7193721935101246,0.7193721935101246,,32.47,,,,,27.63197,,,,-0.3200000000000003,-0.0098
2007-01-30,32.47,0.0,0.0,0.0,LNT,0.0,0.7193721935101246,0.7193721935101246,,32.47,,,,,27.63197,,,,0.0,0.0
2007-01-31,32.47,0.0,0.0,0.0,LNT,0.0,0.7193721935101246,0.7193721935101246,,32.47,,,,,27.63197,,,,0.0,0.0
