date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,31.15,31.48,30.94,31.1,LOW,7746100,0.0,0.0,31.1,31.15,31.48,30.94,7746100,23.5715,23.6094,23.8595,23.4502,7746100,0.0,0.0
2007-01-03,32.04,32.31,31.15,31.21,LOW,14143400,0.02857142857142859,0.02857142857142859,31.21,32.04,32.31,31.15,14143400,23.09,23.71,23.91,23.05,14143400,0.8900000000000006,0.0286
2007-01-04,32.18,32.5,31.61,32.4,LOW,8354400,0.03306581059390052,0.03306581059390052,32.4,32.18,32.5,31.61,8354400,23.97,23.81,24.05,23.39,8354400,0.14000000000000057,0.0044
2007-01-05,31.79,32.41,31.59,32.16,LOW,8335600,0.02054574638844304,0.02054574638844304,32.16,31.79,32.41,31.59,8335600,23.8,23.52,23.98,23.37,8335600,-0.39000000000000057,-0.0121
2007-01-08,31.7,31.82,31.13,31.62,LOW,6423400,0.017656500802568243,0.017656500802568243,31.62,31.7,31.82,31.13,6423400,23.4,23.45,23.54,23.03,6423400,-0.08999999999999986,-0.0028
2007-01-09,31.87,32.05,31.69,31.76,LOW,5053500,0.023113964686998473,0.023113964686998473,31.76,31.87,32.05,31.69,5053500,23.5,23.58,23.71,23.45,5053500,0.1700000000000017,0.0054
2007-01-10,32.47,32.59,31.7,31.71,LOW,8741800,0.042375601926163735,0.042375601926163735,31.71,32.47,32.59,31.7,8741800,23.46,24.02,24.11,23.45,8741800,0.5999999999999979,0.0188
2007-01-11,33.05,33.14,32.42,32.47,LOW,8904800,0.060995184590690164,0.060995184590690164,32.47,33.05,33.14,32.42,8904800,24.02,24.45,24.52,23.99,8904800,0.5799999999999983,0.0179
2007-01-12,33.06,33.17,32.58,33.07,LOW,7217200,0.06131621187800975,0.06131621187800975,33.07,33.06,33.17,32.58,7217200,24.47,24.46,24.54,24.11,7217200,0.010000000000005116,0.0003
2007-01-16,33.4,33.43,32.92,33.0,LOW,6380800,0.07223113964686999,0.07223113964686999,33.0,33.4,33.43,32.92,6380800,24.42,24.71,24.73,24.36,6380800,0.3399999999999963,0.0103
