date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,50.62,51.87,50.52,51.2,LRCX,1980186,0.0,0.0,51.2,50.62,51.87,50.52,1980186,43.9903,43.492,44.566,43.4061,1980186,0.0,0.0
2007-01-03,49.46,51.48,48.62,50.95,LRCX,4458594,-0.02291584354010266,-0.02291584354010266,50.95,49.46,51.48,48.62,4458594,44.5,43.2,44.97,42.47,4458594,-1.1599999999999966,-0.0229
2007-01-04,51.92,52.37,49.95,50.1,LRCX,4796956,0.025681548794942798,0.025681548794942798,50.1,51.92,52.37,49.95,4796956,43.76,45.35,45.75,43.63,4796956,2.460000000000001,0.0497
2007-01-05,51.85,51.85,50.55,51.57,LRCX,3235145,0.0242986961675228,0.0242986961675228,51.57,51.85,51.85,50.55,3235145,45.05,45.29,45.29,44.16,3235145,-0.07000000000000028,-0.0013
2007-01-08,51.28,52.85,51.11,51.94,LRCX,3364018,0.013038324772817142,0.013038324772817142,51.94,51.28,52.85,51.11,3364018,45.37,44.79,46.16,44.64,3364018,-0.5700000000000003,-0.011
2007-01-09,51.18,51.85,50.38,51.85,LRCX,3506947,0.011062821019359983,0.011062821019359983,51.85,51.18,51.85,50.38,3506947,45.29,44.71,45.29,44.01,3506947,-0.10000000000000142,-0.002
2007-01-10,52.7,52.91,50.39,50.81,LRCX,4162373,0.041090478071908444,0.041090478071908444,50.81,52.7,52.91,50.39,4162373,44.38,46.03,46.22,44.02,4162373,1.5200000000000031,0.0297
2007-01-11,53.5,53.95,52.6,52.6,LRCX,3258205,0.05689450809956544,0.05689450809956544,52.6,53.5,53.95,52.6,3258205,45.95,46.73,47.13,45.95,3258205,0.7999999999999972,0.0152
2007-01-12,54.54,54.64,53.08,53.14,LRCX,3799239,0.0774397471355196,0.0774397471355196,53.14,54.54,54.64,53.08,3799239,46.42,47.64,47.73,46.37,3799239,1.0399999999999991,0.0194
2007-01-16,53.25,54.44,52.6,53.86,LRCX,3648184,0.051955748715922616,0.051955748715922616,53.86,53.25,54.44,52.6,3648184,47.05,46.51,47.55,45.95,3648184,-1.2899999999999991,-0.0237
2007-01-17,54.13,54.68,52.52,52.76,LRCX,5536925,0.06934018174634542,0.06934018174634542,52.76,54.13,54.68,52.52,5536925,46.09,47.28,47.76,45.88,5536925,0.8800000000000026,0.0165
2007-01-18,46.22,48.94,45.89,47.1,LRCX,18405434,-0.08692216515211376,-0.08692216515211376,47.1,46.22,48.94,45.89,18405434,41.14,40.37,42.75,40.09,18405434,-7.910000000000004,-0.1461
2007-01-19,47.28,47.69,46.07,46.2,LRCX,6531412,-0.06598182536546812,-0.06598182536546812,46.2,47.28,47.69,46.07,6531412,40.36,41.3,41.66,40.24,6531412,1.0600000000000023,0.0229
2007-01-22,46.9,47.72,46.75,47.68,LRCX,4532599,-0.07348873962860528,-0.07348873962860528,47.68,46.9,47.72,46.75,4532599,41.65,40.97,41.68,40.84,4532599,-0.38000000000000256,-0.008
2007-01-23,46.59,47.43,46.46,46.55,LRCX,3619181,-0.07961280126432228,-0.07961280126432228,46.55,46.59,47.43,46.46,3619181,40.66,40.7,41.43,40.58,3619181,-0.30999999999999517,-0.0066
2007-01-24,48.02,48.16,46.8,46.59,LRCX,3120617,-0.05136309758988531,-0.05136309758988531,46.59,48.02,48.16,46.8,3120617,40.7,41.95,42.07,40.88,3120617,1.4299999999999997,0.0307
2007-01-25,47.17,48.0,46.87,47.66,LRCX,3797063,-0.06815487949427096,-0.06815487949427096,47.66,47.17,48.0,46.87,3797063,41.63,41.2,41.93,40.94,3797063,-0.8500000000000014,-0.0177
2007-01-26,47.39,48.48,47.01,47.25,LRCX,4426860,-0.06380877123666528,-0.06380877123666528,47.25,47.39,48.48,47.01,4426860,41.27,41.4,42.35,41.06,4426860,0.21999999999999886,0.0047
2007-01-29,47.02,47.66,46.0,47.12,LRCX,4380959,-0.07111813512445662,-0.07111813512445662,47.12,47.02,47.66,46.0,4380959,41.16,41.07,41.63,40.18,4380959,-0.36999999999999744,-0.0078
2007-01-30,46.37,47.0,46.03,47.0,LRCX,3726730,-0.0839589095219281,-0.0839589095219281,47.0,46.37,47.0,46.03,3726730,41.05,40.5,41.05,40.21,3726730,-0.6500000000000057,-0.0138
2007-01-31,45.81,46.19,44.81,46.0,LRCX,5102134,-0.09502173054128794,-0.09502173054128794,46.0,45.81,46.19,44.81,5102134,40.18,40.02,40.35,39.14,5102134,-0.5599999999999952,-0.0121
2007-02-01,45.3,46.12,45.05,45.84,LRCX,4428848,-0.10509679968391941,-0.10509679968391941,45.84,45.3,46.12,45.05,4428848,40.04,39.57,40.29,39.35,4428848,-0.5100000000000051,-0.0111
2007-02-02,45.73,46.15,45.27,45.3,LRCX,4154705,-0.09660213354405375,-0.09660213354405375,45.3,45.73,46.15,45.27,4154705,39.57,39.95,40.31,39.54,4154705,0.4299999999999997,0.0095
2007-02-05,46.4,46.6,45.5,46.19,LRCX,4677878,-0.08336625839589093,-0.08336625839589093,46.19,46.4,46.6,45.5,4677878,40.35,40.53,40.71,39.74,4677878,0.6700000000000017,0.0147
2007-02-06,45.7,46.38,45.26,46.16,LRCX,3837432,-0.09719478467009077,-0.09719478467009077,46.16,45.7,46.38,45.26,3837432,40.32,39.92,40.51,39.53,3837432,-0.6999999999999957,-0.0151
2007-02-07,46.25,47.08,45.8,46.25,LRCX,3535500,-0.08632951402607661,-0.08632951402607661,46.25,46.25,47.08,45.8,3535500,40.4,40.4,41.12,40.01,3535500,0.5499999999999972,0.012
2007-02-08,45.7,46.37,45.68,46.32,LRCX,2660910,-0.09719478467009077,-0.09719478467009077,46.32,45.7,46.37,45.68,2660910,40.46,39.92,40.5,39.9,2660910,-0.5499999999999972,-0.0119
2007-02-09,44.01,46.22,43.66,45.85,LRCX,7489842,-0.1305807981035164,-0.1305807981035164,45.85,44.01,46.22,43.66,7489842,40.05,38.44,40.37,38.14,7489842,-1.6900000000000048,-0.037
2007-02-12,43.43,44.12,43.33,43.92,LRCX,3901539,-0.14203871987356773,-0.14203871987356773,43.92,43.43,44.12,43.33,3901539,38.36,37.94,38.54,37.85,3901539,-0.5799999999999983,-0.0132
2007-02-13,44.05,44.21,43.55,43.75,LRCX,3456544,-0.12979059660213355,-0.12979059660213355,43.75,44.05,44.21,43.55,3456544,38.22,38.48,38.62,38.04,3456544,0.6199999999999974,0.0143
2007-02-14,44.75,45.1,44.01,44.41,LRCX,3709813,-0.11596207032793358,-0.11596207032793358,44.41,44.75,45.1,44.01,3709813,38.79,39.09,39.39,38.44,3709813,0.7000000000000028,0.0159
2007-02-15,45.14,45.58,44.61,44.75,LRCX,2792517,-0.10825760568945075,-0.10825760568945075,44.75,45.14,45.58,44.61,2792517,39.09,39.43,39.81,38.97,2792517,0.39000000000000057,0.0087
2007-02-16,45.23,45.37,44.76,45.09,LRCX,2318696,-0.1064796523113394,-0.1064796523113394,45.09,45.23,45.37,44.76,2318696,39.39,39.51,39.63,39.1,2318696,0.0899999999999963,0.002
2007-02-20,44.12,44.49,43.64,44.29,LRCX,3750774,-0.12840774397471355,-0.12840774397471355,44.29,44.12,44.49,43.64,3750774,38.69,38.54,38.86,38.12,3750774,-1.1099999999999994,-0.0245
2007-02-21,44.63,44.7,43.85,43.95,LRCX,2597954,-0.11833267483208208,-0.11833267483208208,43.95,44.63,44.7,43.85,2597954,38.39,38.98,39.05,38.3,2597954,0.5100000000000051,0.0116
2007-02-22,44.96,45.7,44.51,45.0,LRCX,2948387,-0.11181351244567359,-0.11181351244567359,45.0,44.96,45.7,44.51,2948387,39.31,39.27,39.92,38.88,2948387,0.3299999999999983,0.0074
2007-02-23,45.79,46.08,45.05,45.45,LRCX,4678615,-0.09541683129197942,-0.09541683129197942,45.45,45.79,46.08,45.05,4678615,39.7,40.0,40.25,39.35,4678615,0.8299999999999983,0.0185
2007-02-26,46.53,47.7,46.29,47.62,LRCX,4348514,-0.08079810351639662,-0.08079810351639662,47.62,46.53,47.7,46.29,4348514,41.6,40.64,41.67,40.43,4348514,0.740000000000002,0.0162
2007-02-27,44.68,46.38,44.28,45.21,LRCX,4807597,-0.11734492295535358,-0.11734492295535358,45.21,44.68,46.38,44.28,4807597,39.49,39.03,40.51,38.68,4807597,-1.8500000000000014,-0.0398
2007-02-28,44.66,45.4,44.27,44.99,LRCX,3554925,-0.11774002370604507,-0.11774002370604507,44.99,44.66,45.4,44.27,3554925,39.3,39.01,39.66,38.67,3554925,-0.020000000000003126,-0.0004
2007-03-01,44.29,44.67,43.26,43.71,LRCX,4399900,-0.1250493875938364,-0.1250493875938364,43.71,44.29,44.67,43.26,4399900,38.18,38.69,39.02,37.79,4399900,-0.36999999999999744,-0.0083
2007-03-02,43.5,44.56,43.43,44.29,LRCX,2894279,-0.14065586724614773,-0.14065586724614773,44.29,43.5,44.56,43.43,2894279,38.69,38.0,38.92,37.94,2894279,-0.7899999999999991,-0.0178
2007-03-05,43.49,44.46,43.1,43.25,LRCX,4679240,-0.1408534176214934,-0.1408534176214934,43.25,43.49,44.46,43.1,4679240,37.78,37.99,38.84,37.65,4679240,-0.00999999999999801,-0.0002
2007-03-06,43.75,44.1,43.46,43.8,LRCX,3409316,-0.1357171078625049,-0.1357171078625049,43.8,43.75,44.1,43.46,3409316,38.26,38.22,38.52,37.97,3409316,0.259999999999998,0.006
2007-03-07,44.32,45.07,43.55,43.58,LRCX,3632640,-0.12445673646779924,-0.12445673646779924,43.58,44.32,45.07,43.55,3632640,38.07,38.71,39.37,38.04,3632640,0.5700000000000003,0.013
2007-03-08,45.19,46.16,45.13,45.16,LRCX,3536344,-0.10726985381272225,-0.10726985381272225,45.16,45.19,46.16,45.13,3536344,39.45,39.47,40.32,39.42,3536344,0.8699999999999974,0.0196
2007-03-09,45.51,45.87,45.04,45.84,LRCX,3358665,-0.10094824180165941,-0.10094824180165941,45.84,45.51,45.87,45.04,3358665,40.04,39.75,40.07,39.34,3358665,0.3200000000000003,0.0071
2007-03-12,46.27,46.4,45.47,45.5,LRCX,2776408,-0.08593441327538512,-0.08593441327538512,45.5,46.27,46.4,45.47,2776408,39.74,40.42,40.53,39.72,2776408,0.7600000000000051,0.0167
2007-03-13,44.8,46.23,44.78,46.19,LRCX,3217379,-0.11497431845120507,-0.11497431845120507,46.19,44.8,46.23,44.78,3217379,40.35,39.13,40.38,39.12,3217379,-1.470000000000006,-0.0318
2007-03-14,45.45,45.61,44.33,44.75,LRCX,3093179,-0.1021335440537336,-0.1021335440537336,44.75,45.45,45.61,44.33,3093179,39.09,39.7,39.84,38.72,3093179,0.6500000000000057,0.0145
2007-03-15,45.6,45.89,45.17,45.55,LRCX,2388084,-0.09917028842354793,-0.09917028842354793,45.55,45.6,45.89,45.17,2388084,39.79,39.83,40.08,39.46,2388084,0.14999999999999858,0.0033
2007-03-16,45.54,45.74,44.76,45.42,LRCX,3279675,-0.10035559067562226,-0.10035559067562226,45.42,45.54,45.74,44.76,3279675,39.67,39.78,39.95,39.1,3279675,-0.060000000000002274,-0.0013
2007-03-19,45.05,46.0,44.82,45.99,LRCX,2970112,-0.11003555906756224,-0.11003555906756224,45.99,45.05,46.0,44.82,2970112,40.17,39.35,40.18,39.15,2970112,-0.490000000000002,-0.0108
2007-03-20,45.68,45.68,44.75,45.06,LRCX,2333123,-0.09758988542078226,-0.09758988542078226,45.06,45.68,45.68,44.75,2333123,39.36,39.9,39.9,39.09,2333123,0.6300000000000026,0.014
2007-03-21,46.83,47.08,45.36,45.87,LRCX,3295688,-0.07487159225602527,-0.07487159225602527,45.87,46.83,47.08,45.36,3295688,40.07,40.91,41.12,39.62,3295688,1.1499999999999986,0.0252
2007-03-22,46.69,47.06,46.43,46.99,LRCX,2115661,-0.07763729751086527,-0.07763729751086527,46.99,46.69,47.06,46.43,2115661,41.05,40.78,41.11,40.56,2115661,-0.14000000000000057,-0.003
2007-03-23,47.32,47.96,46.53,46.53,LRCX,2835594,-0.0651916238640853,-0.0651916238640853,46.53,47.32,47.96,46.53,2835594,40.64,41.33,41.89,40.64,2835594,0.6300000000000026,0.0135
2007-03-26,48.08,48.16,47.24,47.53,LRCX,2906788,-0.05017779533781113,-0.05017779533781113,47.53,48.08,48.16,47.24,2906788,41.52,42.0,42.07,41.26,2906788,0.759999999999998,0.0161
2007-03-27,48.39,48.71,47.34,48.08,LRCX,3079431,-0.04405373370209398,-0.04405373370209398,48.08,48.39,48.71,47.34,3079431,42.0,42.27,42.55,41.35,3079431,0.3100000000000023,0.0064
2007-03-28,48.18,49.0,47.9,48.08,LRCX,3590649,-0.04820229158435397,-0.04820229158435397,48.08,48.18,49.0,47.9,3590649,42.0,42.09,42.8,41.84,3590649,-0.21000000000000085,-0.0043
2007-03-29,47.15,48.94,46.58,48.18,LRCX,3676685,-0.06854998024496245,-0.06854998024496245,48.18,47.15,48.94,46.58,3676685,42.09,41.19,42.75,40.69,3676685,-1.0300000000000011,-0.0214
2007-03-30,47.34,47.94,46.9,47.35,LRCX,3240030,-0.0647965231133938,-0.0647965231133938,47.35,47.34,47.94,46.9,3240030,41.36,41.35,41.88,40.97,3240030,0.19000000000000483,0.004
2007-04-02,47.49,48.12,46.92,47.35,LRCX,2793114,-0.06183326748320813,-0.06183326748320813,47.35,47.49,48.12,46.92,2793114,41.36,41.48,42.03,40.98,2793114,0.14999999999999858,0.0032
2007-04-03,47.93,48.29,46.91,47.75,LRCX,3108837,-0.053141050967996796,-0.053141050967996796,47.75,47.93,48.29,46.91,3108837,41.71,41.87,42.18,40.98,3108837,0.4399999999999977,0.0093
2007-04-04,49.06,49.16,48.42,49.06,LRCX,3898591,-0.030817858553931158,-0.030817858553931158,49.06,49.06,49.16,48.42,3898591,42.85,42.85,42.94,42.29,3898591,1.1300000000000026,0.0236
2007-04-05,49.4,49.49,48.9,49.05,LRCX,2124064,-0.024101145792176985,-0.024101145792176985,49.05,49.4,49.49,48.9,2124064,42.85,43.15,43.23,42.71,2124064,0.3399999999999963,0.0069
2007-04-09,49.33,50.16,48.81,49.4,LRCX,2980438,-0.025483998419596983,-0.025483998419596983,49.4,49.33,50.16,48.81,2980438,43.15,43.09,43.81,42.64,2980438,-0.07000000000000028,-0.0014
2007-04-10,50.51,50.73,48.97,49.3,LRCX,4133080,-0.0021730541288028336,-0.0021730541288028336,49.3,50.51,50.73,48.97,4133080,43.06,44.12,44.31,42.78,4133080,1.1799999999999997,0.0239
2007-04-11,50.24,51.46,50.19,50.51,LRCX,4822500,-0.00750691426313701,-0.00750691426313701,50.51,50.24,51.46,50.19,4822500,44.12,43.88,44.95,43.84,4822500,-0.269999999999996,-0.0053
2007-04-12,50.98,51.89,50.82,50.75,LRCX,8454251,0.007111813512445663,0.007111813512445663,50.75,50.98,51.89,50.82,8454251,44.33,44.53,45.33,44.39,8454251,0.7399999999999949,0.0147
2007-04-13,51.86,52.04,49.64,51.0,LRCX,9606325,0.02449624654286847,0.02449624654286847,51.0,51.86,52.04,49.64,9606325,44.55,45.3,45.46,43.36,9606325,0.8800000000000026,0.0173
2007-04-16,52.39,52.4,51.27,52.11,LRCX,3548177,0.03496641643619129,0.03496641643619129,52.11,52.39,52.4,51.27,3548177,45.52,45.76,45.77,44.78,3548177,0.5300000000000011,0.0102
2007-04-17,51.88,52.3,51.63,52.3,LRCX,2432118,0.02489134729355996,0.02489134729355996,52.3,51.88,52.3,51.63,2432118,45.68,45.32,45.68,45.1,2432118,-0.509999999999998,-0.0097
2007-04-18,52.68,53.29,51.76,51.75,LRCX,3169039,0.04069537732121696,0.04069537732121696,51.75,52.68,53.29,51.76,3169039,45.2,46.02,46.55,45.21,3169039,0.7999999999999972,0.0154
2007-04-19,52.89,53.63,51.81,52.3,LRCX,3628957,0.04484393520347695,0.04484393520347695,52.3,52.89,53.63,51.81,3628957,45.68,46.2,46.85,45.26,3628957,0.21000000000000085,0.004
2007-04-20,52.77,53.59,52.61,52.89,LRCX,3263097,0.042473330699328446,0.042473330699328446,52.89,52.77,53.59,52.61,3263097,46.2,46.09,46.81,45.95,3263097,-0.11999999999999744,-0.0023
2007-04-23,52.97,53.23,52.58,52.09,LRCX,2009165,0.04642433820624262,0.04642433820624262,52.09,52.97,53.23,52.58,2009165,45.5,46.27,46.5,45.93,2009165,0.19999999999999574,0.0038
2007-04-24,53.41,53.67,52.86,53.56,LRCX,3019498,0.05511655472145396,0.05511655472145396,53.56,53.41,53.67,52.86,3019498,46.78,46.65,46.88,46.17,3019498,0.4399999999999977,0.0083
