date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2007-07-30,14.99,15.93,14.18,14.22,LULU,5769002,0.0,0.0,28.45,29.98,31.85,28.36,2884501,14.22,14.99,15.93,14.18,5769002,0.0,0.0
2007-07-31,16.07,17.09,15.11,15.32,LULU,4441496,0.07204803202134757,0.07204803202134757,30.65,32.14,34.17,30.21,2220748,15.32,16.07,17.09,15.11,4441496,1.08,0.072
2007-08-01,15.54,16.63,15.2,16.47,LULU,3063486,0.036691127418278784,0.036691127418278784,32.94,31.08,33.25,30.4,1531743,16.47,15.54,16.63,15.2,3063486,-0.5300000000000011,-0.033
2007-08-02,16.52,16.91,15.99,16.13,LULU,1969972,0.10206804536357568,0.10206804536357568,32.25,33.05,33.83,31.98,984986,16.13,16.52,16.91,15.99,1969972,0.9800000000000004,0.0631
2007-08-03,15.5,17.25,15.04,16.82,LULU,2349364,0.034022681787858555,0.034022681787858555,33.65,31.0,34.5,30.09,1174682,16.82,15.5,17.25,15.04,2349364,-1.0199999999999996,-0.0617
2007-08-06,16.38,16.43,15.04,15.81,LULU,3002882,0.09272848565710465,0.09272848565710465,31.62,32.75,32.85,30.09,1501441,15.81,16.38,16.43,15.04,3002882,0.879999999999999,0.0568
2007-08-07,18.12,18.52,16.07,16.52,LULU,3987002,0.20880587058038697,0.20880587058038697,33.05,36.24,37.03,32.13,1993501,16.52,18.12,18.52,16.07,3987002,1.740000000000002,0.1062
2007-08-08,18.88,19.43,18.2,18.7,LULU,4068200,0.25950633755837216,0.25950633755837216,37.4,37.75,38.85,36.4,2034100,18.7,18.88,19.43,18.2,4068200,0.759999999999998,0.0419
2007-08-09,17.68,18.88,17.25,18.75,LULU,1828562,0.1794529686457638,0.1794529686457638,37.5,35.35,37.75,34.5,914281,18.75,17.68,18.88,17.25,1828562,-1.1999999999999993,-0.0636
2007-08-10,18.07,18.1,16.13,17.5,LULU,2232672,0.2054703135423616,0.2054703135423616,35.0,36.15,36.2,32.26,1116336,17.5,18.07,18.1,16.13,2232672,0.39000000000000057,0.0221
2007-08-13,18.44,19.0,18.25,18.68,LULU,962774,0.23015343562374924,0.23015343562374924,37.35,36.88,38.0,36.51,481387,18.68,18.44,19.0,18.25,962774,0.370000000000001,0.0205
2007-08-14,16.75,18.59,16.75,18.0,LULU,2153420,0.11741160773849231,0.11741160773849231,36.0,33.5,37.19,33.49,1076710,18.0,16.75,18.59,16.75,2153420,-1.6900000000000013,-0.0916
2007-08-15,16.73,17.63,16.06,17.07,LULU,1529156,0.1160773849232822,0.1160773849232822,34.14,33.45,35.25,32.11,764578,17.07,16.73,17.63,16.06,1529156,-0.019999999999999574,-0.0012
2007-08-16,16.02,16.7,14.35,16.21,LULU,2732328,0.06871247498332217,0.06871247498332217,32.42,32.03,33.39,28.7,1366164,16.21,16.02,16.7,14.35,2732328,-0.7100000000000009,-0.0424
2007-08-17,16.47,17.5,15.84,15.95,LULU,1150400,0.09873248832555027,0.09873248832555027,31.9,32.94,34.99,31.68,575200,15.95,16.47,17.5,15.84,1150400,0.4499999999999993,0.0281
2007-08-20,16.5,17.09,16.0,17.0,LULU,582160,0.10073382254836556,0.10073382254836556,34.0,33.0,34.17,32.0,291080,17.0,16.5,17.09,16.0,582160,0.030000000000001137,0.0018
2007-08-21,17.01,17.35,16.15,16.55,LULU,1251148,0.13475650433622424,0.13475650433622424,33.1,34.02,34.7,32.3,625574,16.55,17.01,17.35,16.15,1251148,0.5100000000000016,0.0309
