date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,45.1035,45.4154,45.0278,45.4059,MAR,1273211.7774743545,0.0,0.0,48.04,47.72,48.05,47.64,1203400,38.5729,38.316,38.5809,38.2517,1273211.7774743545,0.0,0.0
2007-01-03,47.34,47.85,47.19,47.7,MAR,2402100.0,0.04958595230968787,0.04958595230968787,47.7,47.34,47.85,47.19,2402100,42.9,42.58,43.04,42.44,2402100.0,2.2365000000000066,0.0496
2007-01-04,46.17,46.98,45.7,46.8,MAR,3315400.0,0.02364561508530391,0.02364561508530391,46.8,46.17,46.98,45.7,3315400,42.09,41.53,42.25,41.1,3315400.0,-1.1700000000000017,-0.0247
2007-01-05,45.1,46.0,44.99,45.9,MAR,3467900.0,-7.759929938908058e-05,-7.759929938908058e-05,45.9,45.1,46.0,44.99,3467900,41.28,40.56,41.37,40.46,3467900.0,-1.0700000000000003,-0.0232
2007-01-08,45.63,46.06,44.79,45.17,MAR,2808300.0,0.011673151750972891,0.011673151750972891,45.17,45.63,46.06,44.79,2808300,40.63,41.04,41.43,40.28,2808300.0,0.5300000000000011,0.0118
2007-01-09,46.23,46.34,45.53,45.53,MAR,3445300.0,0.024975888789118363,0.024975888789118363,45.53,46.23,46.34,45.53,3445300,40.95,41.58,41.68,40.95,3445300.0,0.5999999999999943,0.0131
2007-01-10,46.45,46.5,45.92,46.23,MAR,1861600.0,0.02985355903643855,0.02985355903643855,46.23,46.45,46.5,45.92,1861600,41.58,41.78,41.82,41.3,1861600.0,0.22000000000000597,0.0048
2007-01-11,46.86,46.95,46.4,46.65,MAR,2165000.0,0.0389437626791713,0.0389437626791713,46.65,46.86,46.95,46.4,2165000,41.96,42.15,42.23,41.73,2165000.0,0.4099999999999966,0.0088
2007-01-12,47.18,47.34,46.75,46.75,MAR,1511400.0,0.04603855576618229,0.04603855576618229,46.75,47.18,47.34,46.75,1511400,42.05,42.43,42.58,42.05,1511400.0,0.3200000000000003,0.0068
2007-01-16,47.4,47.52,46.85,47.03,MAR,1894600.0,0.05091622601350232,0.05091622601350232,47.03,47.4,47.52,46.85,1894600,42.3,42.63,42.74,42.14,1894600.0,0.21999999999999886,0.0047
2007-01-17,47.25,47.56,47.1,47.41,MAR,2541400.0,0.04759054175396595,0.04759054175396595,47.41,47.25,47.56,47.1,2541400,42.64,42.5,42.78,42.36,2541400.0,-0.14999999999999858,-0.0032
2007-01-18,46.93,47.4,46.83,46.96,MAR,1812600.0,0.04049574866695496,0.04049574866695496,46.96,46.93,47.4,46.83,1812600,42.24,42.21,42.63,42.12,1812600.0,-0.3200000000000003,-0.0068
2007-01-19,47.08,47.54,46.93,46.96,MAR,2108100.0,0.04382143292649133,0.04382143292649133,46.96,47.08,47.54,46.93,2108100,42.24,42.34,42.76,42.21,2108100.0,0.14999999999999858,0.0032
2007-01-22,46.84,47.14,46.62,47.03,MAR,1705100.0,0.038500338111233205,0.038500338111233205,47.03,46.84,47.14,46.62,1705100,42.3,42.13,42.4,41.93,1705100.0,-0.23999999999999488,-0.0051
2007-01-23,47.2,47.4,46.79,46.91,MAR,2112200.0,0.04648198033412055,0.04648198033412055,46.91,47.2,47.4,46.79,2112200,42.19,42.45,42.63,42.08,2112200.0,0.35999999999999943,0.0077
2007-01-24,47.67,47.87,47.13,47.21,MAR,2283300.0,0.05690245768066791,0.05690245768066791,47.21,47.67,47.87,47.13,2283300,42.46,42.87,43.05,42.39,2283300.0,0.46999999999999886,0.01
2007-01-25,46.95,47.81,46.94,47.58,MAR,2818100.0,0.04093917323489322,0.04093917323489322,47.58,46.95,47.81,46.94,2818100,42.79,42.23,43.0,42.22,2818100.0,-0.7199999999999989,-0.0151
2007-01-26,47.06,47.35,46.6,47.0,MAR,2351700.0,0.04337800835855323,0.04337800835855323,47.0,47.06,47.35,46.6,2351700,42.27,42.33,42.59,41.91,2351700.0,0.10999999999999943,0.0023
2007-01-29,46.81,47.25,46.78,47.07,MAR,2238200.0,0.0378352012593259,0.0378352012593259,47.07,46.81,47.25,46.78,2238200,42.33,42.1,42.5,42.07,2238200.0,-0.25,-0.0053
2007-01-30,46.73,47.33,46.55,47.2,MAR,2437500.0,0.03606150298757303,0.03606150298757303,47.2,46.73,47.33,46.55,2437500,42.45,42.03,42.57,41.87,2437500.0,-0.0800000000000054,-0.0017
2007-01-31,48.14,48.31,46.89,46.89,MAR,2791050.0,0.06732293502721527,0.06732293502721527,46.89,48.14,48.31,46.89,2791050,42.17,43.3,43.45,42.17,2791050.0,1.4100000000000037,0.0302
2007-02-01,49.02,49.12,48.04,48.15,MAR,2651000.0,0.08683361601649554,0.08683361601649554,48.15,49.02,49.12,48.04,2651000,43.31,44.09,44.18,43.21,2651000.0,0.8800000000000026,0.0183
2007-02-02,48.79,49.13,48.5,48.97,MAR,1931100.0,0.08173423348520631,0.08173423348520631,48.97,48.79,49.13,48.5,1931100,44.04,43.88,44.19,43.62,1931100.0,-0.23000000000000398,-0.0047
2007-02-05,49.36,49.39,48.79,48.85,MAR,1822500.0,0.09437183367144462,0.09437183367144462,48.85,49.36,49.39,48.79,1822500,43.94,44.39,44.42,43.88,1822500.0,0.5700000000000003,0.0117
2007-02-06,49.59,49.91,48.95,49.3,MAR,2079500.0,0.09947121620273387,0.09947121620273387,49.3,49.59,49.91,48.95,2079500,44.34,44.6,44.89,44.03,2079500.0,0.23000000000000398,0.0047
2007-02-07,50.13,50.54,49.59,49.59,MAR,2701200.0,0.11144367953706488,0.11144367953706488,49.59,50.13,50.54,49.59,2701200,44.6,45.09,45.46,44.6,2701200.0,0.5399999999999991,0.0109
2007-02-08,51.21,51.5,49.95,50.13,MAR,2736200.0,0.13538860620572693,0.13538860620572693,50.13,51.21,51.5,49.95,2736200,45.09,46.06,46.32,44.93,2736200.0,1.0799999999999983,0.0215
2007-02-09,49.09,51.12,48.88,50.49,MAR,4154400.0,0.0883856020042792,0.0883856020042792,50.49,49.09,51.12,48.88,4154400,45.41,44.15,45.98,43.96,4154400.0,-2.1199999999999974,-0.0414
