date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,50.7,51.04,50.6,50.7,MCK,704500,0.0,0.0,50.7,50.7,51.04,50.6,704500,44.6828,44.6828,44.9825,44.5947,704500,0.0,0.0
2007-01-03,51.43,51.84,50.8,50.86,MCK,2186900,0.01439842209072972,0.01439842209072972,50.86,51.43,51.84,50.8,2186900,44.43,44.93,45.29,44.38,2186900,0.7299999999999969,0.0144
2007-01-04,51.3,51.6,51.15,51.35,MCK,1862900,0.011834319526627106,0.011834319526627106,51.35,51.3,51.6,51.15,1862900,44.86,44.82,45.08,44.68,1862900,-0.13000000000000256,-0.0025
2007-01-05,51.31,51.68,51.05,51.3,MCK,2034600,0.012031558185404327,0.012031558185404327,51.3,51.31,51.68,51.05,2034600,44.82,44.82,45.15,44.6,2034600,0.010000000000005116,0.0002
2007-01-08,51.66,51.89,50.82,51.21,MCK,2231700,0.018934911242603426,0.018934911242603426,51.21,51.66,51.89,50.82,2231700,44.74,45.13,45.33,44.4,2231700,0.3499999999999943,0.0068
2007-01-09,51.13,51.87,51.01,51.67,MCK,2117700,0.008481262327416167,0.008481262327416167,51.67,51.13,51.87,51.01,2117700,45.14,44.67,45.31,44.56,2117700,-0.529999999999994,-0.0103
2007-01-10,51.85,52.47,51.65,52.0,MCK,2484100,0.022682445759368806,0.022682445759368806,52.0,51.85,52.47,51.65,2484100,45.43,45.3,45.84,45.12,2484100,0.7199999999999989,0.0141
2007-01-11,52.63,52.94,51.91,52.1,MCK,2250700,0.03806706114398421,0.03806706114398421,52.1,52.63,52.94,51.91,2250700,45.51,45.98,46.25,45.35,2250700,0.7800000000000011,0.015
2007-01-12,54.42,54.46,52.4,52.73,MCK,4273500,0.07337278106508872,0.07337278106508872,52.73,54.42,54.46,52.4,4273500,46.06,47.54,47.58,45.78,4273500,1.7899999999999991,0.034
2007-01-16,54.71,54.74,54.18,54.27,MCK,2483400,0.0790927021696252,0.0790927021696252,54.27,54.71,54.74,54.18,2483400,47.41,47.79,47.82,47.33,2483400,0.28999999999999915,0.0053
2007-01-17,55.32,55.66,54.59,54.75,MCK,3067900,0.09112426035502953,0.09112426035502953,54.75,55.32,55.66,54.59,3067900,47.83,48.33,48.62,47.69,3067900,0.6099999999999994,0.0111
2007-01-18,55.18,55.4,54.76,55.24,MCK,2138900,0.08836291913214983,0.08836291913214983,55.24,55.18,55.4,54.76,2138900,48.26,48.21,48.4,47.84,2138900,-0.14000000000000057,-0.0025
