date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,30.66,31.5,30.36,30.95,MMC,4007500,0.0,0.0,30.95,30.66,31.5,30.36,4007500,22.1799,21.9721,22.5741,21.7571,4007500,0.0,0.0
2007-01-03,31.26,31.53,30.92,31.0,MMC,3277400,0.019569471624266192,0.019569471624266192,31.0,31.26,31.53,30.92,3277400,21.15,21.33,21.51,21.1,3277400,0.6000000000000014,0.0196
2007-01-04,31.63,31.75,30.98,31.37,MMC,2961200,0.03163731245923023,0.03163731245923023,31.37,31.63,31.75,30.98,2961200,21.4,21.58,21.66,21.14,2961200,0.36999999999999744,0.0118
2007-01-05,31.34,31.5,31.0,31.47,MMC,2640500,0.022178734507501623,0.022178734507501623,31.47,31.34,31.5,31.0,2640500,21.47,21.38,21.49,21.15,2640500,-0.28999999999999915,-0.0092
2007-01-08,31.04,31.3,30.87,31.16,MMC,2906000,0.012393998695368526,0.012393998695368526,31.16,31.04,31.3,30.87,2906000,21.26,21.18,21.36,21.06,2906000,-0.3000000000000007,-0.0096
2007-01-09,31.13,31.51,30.95,31.05,MMC,2217800,0.015329419439008443,0.015329419439008443,31.05,31.13,31.51,30.95,2217800,21.19,21.24,21.5,21.12,2217800,0.08999999999999986,0.0029
2007-01-10,31.18,31.23,30.74,31.0,MMC,1966600,0.016960208741030644,0.016960208741030644,31.0,31.18,31.23,30.74,1966600,21.15,21.27,21.31,20.97,1966600,0.05000000000000071,0.0016
2007-01-11,31.21,31.34,31.09,31.17,MMC,1803200,0.01793868232224399,0.01793868232224399,31.17,31.21,31.34,31.09,1803200,21.27,21.29,21.38,21.21,1803200,0.030000000000001137,0.001
2007-01-12,31.36,31.42,30.42,30.95,MMC,2996000,0.02283105022831048,0.02283105022831048,30.95,31.36,31.42,30.42,2996000,21.12,21.4,21.44,20.76,2996000,0.14999999999999858,0.0048
2007-01-16,31.34,31.42,31.06,31.35,MMC,1950500,0.022178734507501623,0.022178734507501623,31.35,31.34,31.42,31.06,1950500,21.39,21.38,21.44,21.19,1950500,-0.019999999999999574,-0.0006
2007-01-17,30.89,31.4,30.77,31.4,MMC,1743300,0.007501630789302036,0.007501630789302036,31.4,30.89,31.4,30.77,1743300,21.42,21.08,21.42,20.99,1743300,-0.4499999999999993,-0.0144
2007-01-18,30.58,31.05,30.57,30.85,MMC,1640300,-0.002609262883235546,-0.002609262883235546,30.85,30.58,31.05,30.57,1640300,21.05,20.86,21.19,20.86,1640300,-0.3100000000000023,-0.01
2007-01-19,30.64,30.78,30.25,30.65,MMC,1990500,-0.0006523157208088576,-0.0006523157208088576,30.65,30.64,30.78,30.25,1990500,20.91,20.91,21.0,20.64,1990500,0.060000000000002274,0.002
