date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,64.3488,64.7612,64.1688,64.4313,MO,6172220.395129342,0.0,0.0,85.93,85.82,86.37,85.58,4628000,26.3245,26.2908,26.4593,26.2173,6172220.395129342,0.0,0.0
2007-01-03,86.51,87.15,86.0,86.64,MO,9482200.0,0.3443918146103736,0.3443918146103736,86.64,86.51,87.15,86.0,9482200,23.96,23.92,24.1,23.78,9482200.0,22.161200000000008,0.3444
2007-01-04,87.65,87.87,86.75,87.4,MO,12441700.0,0.36210776269332157,0.36210776269332157,87.4,87.65,87.87,86.75,12441700,24.17,24.24,24.3,23.99,12441700.0,1.1400000000000006,0.0132
2007-01-05,87.15,87.94,86.95,87.89,MO,8244900.0,0.3543376100253619,0.3543376100253619,87.89,87.15,87.94,86.95,8244900,24.3,24.1,24.32,24.04,8244900.0,-0.5,-0.0057
2007-01-08,87.98,88.03,86.6,87.17,MO,8410300.0,0.36723606345417487,0.36723606345417487,87.17,87.98,88.03,86.6,8410300,24.1,24.33,24.34,23.94,8410300.0,0.8299999999999983,0.0095
2007-01-09,88.12,88.58,87.9,88.03,MO,9048100.0,0.36941170620120356,0.36941170620120356,88.03,88.12,88.58,87.9,9048100,24.34,24.37,24.49,24.3,9048100.0,0.14000000000000057,0.0016
2007-01-10,89.19,89.42,87.9,88.47,MO,11717200.0,0.38603983291063704,0.38603983291063704,88.47,89.19,89.42,87.9,11717200,24.46,24.66,24.72,24.3,11717200.0,1.0699999999999932,0.0121
2007-01-11,89.4,90.5,89.35,89.42,MO,13995000.0,0.3893032970311802,0.3893032970311802,89.42,89.4,90.5,89.35,13995000,24.72,24.72,25.02,24.71,13995000.0,0.21000000000000796,0.0024
2007-01-12,88.42,89.66,87.81,89.42,MO,13297800.0,0.3740737978019793,0.3740737978019793,89.42,88.42,89.66,87.81,13297800,24.72,24.45,24.79,24.28,13297800.0,-0.980000000000004,-0.011
2007-01-16,89.29,89.5,87.99,88.67,MO,8900800.0,0.38759386344422914,0.38759386344422914,88.67,89.29,89.5,87.99,8900800,24.52,24.69,24.75,24.33,8900800.0,0.8700000000000045,0.0098
2007-01-17,88.57,89.59,88.34,89.42,MO,8153000.0,0.37640484360236703,0.37640484360236703,89.42,88.57,89.59,88.34,8153000,24.72,24.49,24.77,24.43,8153000.0,-0.7200000000000131,-0.0081
2007-01-18,87.95,89.08,87.79,88.41,MO,8724300.0,0.36676985429409725,0.36676985429409725,88.41,87.95,89.08,87.79,8724300,24.45,24.32,24.63,24.27,8724300.0,-0.6199999999999903,-0.007
2007-01-19,87.26,88.07,86.99,87.95,MO,10162300.0,0.35604704361231304,0.35604704361231304,87.95,87.26,88.07,86.99,10162300,24.32,24.13,24.35,24.05,10162300.0,-0.6899999999999977,-0.0078
2007-01-22,87.07,87.5,86.62,87.01,MO,8506300.0,0.3530943855984882,0.3530943855984882,87.01,87.07,87.5,86.62,8506300,24.06,24.07,24.19,23.95,8506300.0,-0.19000000000001194,-0.0022
2007-01-23,87.76,87.99,87.0,87.07,MO,6667800.0,0.36381719628027265,0.36381719628027265,87.07,87.76,87.99,87.0,6667800,24.07,24.27,24.33,24.06,6667800.0,0.6900000000000119,0.0079
2007-01-24,87.92,88.26,87.57,87.95,MO,6368500.0,0.3663036451340197,0.3663036451340197,87.95,87.92,88.26,87.57,6368500,24.32,24.31,24.4,24.21,6368500.0,0.1599999999999966,0.0018
2007-01-25,87.85,88.7,87.79,88.29,MO,7896200.0,0.3652158237605052,0.3652158237605052,88.29,87.85,88.7,87.79,7896200,24.41,24.29,24.53,24.27,7896200.0,-0.07000000000000739,-0.0008
2007-01-26,88.0,88.5,87.65,88.3,MO,7690500.0,0.3675468695608932,0.3675468695608932,88.3,88.0,88.5,87.65,7690500,24.41,24.33,24.47,24.24,7690500.0,0.15000000000000568,0.0017
2007-01-29,88.06,89.95,88.06,88.85,MO,12336900.0,0.3684792878810484,0.3684792878810484,88.85,88.06,89.95,88.06,12336900,24.57,24.35,24.87,24.35,12336900.0,0.060000000000002274,0.0007
2007-01-30,87.54,88.5,87.5,88.25,MO,11150000.0,0.36039832910637043,0.36039832910637043,88.25,87.54,88.5,87.5,11150000,24.4,24.2,24.47,24.19,11150000.0,-0.519999999999996,-0.0059
2007-01-31,87.39,88.47,86.25,87.54,MO,18552200.0,0.3580672833059825,0.3580672833059825,87.54,87.39,88.47,86.25,18552200,24.2,24.16,24.46,23.85,18552200.0,-0.15000000000000568,-0.0017
2007-02-01,87.48,87.85,86.73,87.48,MO,11644700.0,0.35946591078621526,0.35946591078621526,87.48,87.48,87.85,86.73,11644700,24.19,24.19,24.29,23.98,11644700.0,0.09000000000000341,0.001
2007-02-02,86.56,87.6,86.31,87.48,MO,9717000.0,0.3451688298771695,0.3451688298771695,87.48,86.56,87.6,86.31,9717000,24.19,23.93,24.22,23.86,9717000.0,-0.9200000000000017,-0.0105
2007-02-05,86.88,86.99,86.36,86.63,MO,6642000.0,0.35014172758466355,0.35014172758466355,86.63,86.88,86.99,86.36,6642000,23.95,24.02,24.05,23.88,6642000.0,0.3199999999999932,0.0037
2007-02-06,86.02,86.92,85.8,86.87,MO,10905000.0,0.33677706499577303,0.33677706499577303,86.87,86.02,86.92,85.8,10905000,24.02,23.78,24.03,23.72,10905000.0,-0.8599999999999994,-0.0099
2007-02-07,85.98,86.38,85.7,86.02,MO,7122200.0,0.3361554527823364,0.3361554527823364,86.02,85.98,86.38,85.7,7122200,23.78,23.77,23.88,23.7,7122200.0,-0.03999999999999204,-0.0005
2007-02-08,85.22,85.9,84.74,85.6,MO,11438100.0,0.3243448207270377,0.3243448207270377,85.6,85.22,85.9,84.74,11438100,23.67,23.56,23.75,23.43,11438100.0,-0.7600000000000051,-0.0088
2007-02-09,85.39,85.8,85.0,85.05,MO,7404400.0,0.326986672634144,0.326986672634144,85.05,85.39,85.8,85.0,7404400,23.52,23.61,23.72,23.5,7404400.0,0.1700000000000017,0.002
2007-02-12,85.6,85.93,85.16,85.26,MO,7683213.0,0.33025013675468695,0.33025013675468695,85.26,85.6,85.93,85.16,7683213,23.57,23.67,23.76,23.55,7683213.0,0.20999999999999375,0.0025
2007-02-13,86.05,86.17,85.53,85.71,MO,7985155.0,0.33724327415585065,0.33724327415585065,85.71,86.05,86.17,85.53,7985155,23.7,23.79,23.83,23.65,7985155.0,0.45000000000000284,0.0053
2007-02-14,86.39,86.47,85.5,86.03,MO,7850622.0,0.3425269779700632,0.3425269779700632,86.03,86.39,86.47,85.5,7850622,23.79,23.89,23.91,23.64,7850622.0,0.3400000000000034,0.004
