date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,67.4506,67.9227,67.3015,67.4175,MS,2890527.9792746105,0.0,0.0,81.39,81.43,82.0,81.25,2394300,48.6075,48.6314,48.9718,48.5239,2890527.9792746105,0.0,0.0
2007-01-03,81.62,82.32,80.82,81.93,MS,4816400.0,0.210070777724735,0.210070777724735,81.93,81.62,82.32,80.82,4816400,59.31,59.08,59.59,58.51,4816400.0,14.16940000000001,0.2101
2007-01-04,81.91,82.4,80.5,81.27,MS,5038100.0,0.214370220576244,0.214370220576244,81.27,81.91,82.4,80.5,5038100,58.83,59.29,59.65,58.27,5038100.0,0.28999999999999204,0.0036
2007-01-05,80.86,81.59,80.36,81.35,MS,4674400.0,0.19880327232078004,0.19880327232078004,81.35,80.86,81.59,80.36,4674400,58.89,58.53,59.06,58.17,4674400.0,-1.0499999999999972,-0.0128
2007-01-08,81.35,81.62,80.04,80.61,MS,4852800.0,0.20606784817332982,0.20606784817332982,80.61,81.35,81.62,80.04,4852800,58.35,58.89,59.08,57.94,4852800.0,0.4899999999999949,0.0061
2007-01-09,81.16,81.85,80.72,81.2,MS,5058600.0,0.20325097182234114,0.20325097182234114,81.2,81.16,81.85,80.72,5058600,58.78,58.75,59.25,58.43,5058600.0,-0.18999999999999773,-0.0023
2007-01-10,81.57,81.82,79.6,80.73,MS,5970500.0,0.20932949447447466,0.20932949447447466,80.73,81.57,81.82,79.6,5970500,58.63,59.24,59.43,57.81,5970500.0,0.4099999999999966,0.0051
2007-01-11,82.37,82.69,81.21,81.45,MS,5240400.0,0.22119002647863786,0.22119002647863786,81.45,82.37,82.69,81.21,5240400,59.16,59.83,60.06,58.98,5240400.0,0.8000000000000114,0.0098
2007-01-12,82.86,83.25,81.77,82.12,MS,4374100.0,0.22845460233118767,0.22845460233118767,82.12,82.86,83.25,81.77,4374100,59.64,60.18,60.46,59.39,4374100.0,0.4899999999999949,0.0059
2007-01-16,82.61,83.38,82.13,83.08,MS,4309000.0,0.2247481860798867,0.2247481860798867,83.08,82.61,83.38,82.13,4309000,60.34,60.0,60.56,59.65,4309000.0,-0.25,-0.003
2007-01-17,82.38,83.0,81.95,82.61,MS,3226300.0,0.22133828312868978,0.22133828312868978,82.61,82.38,83.0,81.95,3226300,60.0,59.83,60.28,59.52,3226300.0,-0.23000000000000398,-0.0028
2007-01-18,81.21,83.28,81.02,81.75,MS,4150800.0,0.2039922550726013,0.2039922550726013,81.75,81.21,83.28,81.02,4150800,59.38,58.98,60.49,58.84,4150800.0,-1.1700000000000017,-0.0142
2007-01-19,81.5,82.41,81.3,81.55,MS,3554500.0,0.20829169792411048,0.20829169792411048,81.55,81.5,82.41,81.3,3554500,59.23,59.19,59.85,59.05,3554500.0,0.29000000000000625,0.0036
2007-01-22,83.31,84.46,81.5,81.5,MS,6322900.0,0.23512615158352942,0.23512615158352942,81.5,83.31,84.46,81.5,6322900,59.19,60.51,61.34,59.19,6322900.0,1.8100000000000023,0.0222
2007-01-23,82.62,83.2,82.01,83.14,MS,3702900.0,0.22489644272993883,0.22489644272993883,83.14,82.62,83.2,82.01,3702900,60.38,60.01,60.43,59.56,3702900.0,-0.6899999999999977,-0.0083
2007-01-24,84.65,84.66,82.75,82.79,MS,4471100.0,0.2549925426905026,0.2549925426905026,82.79,84.65,84.66,82.75,4471100,60.13,61.48,61.49,60.1,4471100.0,2.030000000000001,0.0246
