date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,67.7,68.3,67.58,68.15,NOC,709200,0.0,0.0,68.15,67.7,68.3,67.58,709200,49.2473,48.9222,49.3557,48.8354,709200,0.0,0.0
2007-01-03,68.13,68.7,67.56,67.6,NOC,1233700,0.006351550960118059,0.006351550960118059,67.6,68.13,68.7,67.56,1233700,47.1,47.47,47.86,47.07,1233700,0.4299999999999926,0.0064
2007-01-04,66.95,68.17,66.88,67.88,NOC,1919500,-0.011078286558345642,-0.011078286558345642,67.88,66.95,68.17,66.88,1919500,47.29,46.64,47.49,46.6,1919500,-1.1799999999999926,-0.0173
2007-01-05,67.28,67.55,66.23,66.23,NOC,1487700,-0.006203840472673585,-0.006203840472673585,66.23,67.28,67.55,66.23,1487700,46.14,46.87,47.06,46.14,1487700,0.3299999999999983,0.0049
2007-01-08,67.67,67.81,66.8,67.03,NOC,1281700,-0.00044313146233384247,-0.00044313146233384247,67.03,67.67,67.81,66.8,1281700,46.7,47.15,47.24,46.54,1281700,0.39000000000000057,0.0058
2007-01-09,68.09,68.37,67.37,67.88,NOC,1178100,0.005760709010339742,0.005760709010339742,67.88,68.09,68.37,67.37,1178100,47.29,47.44,47.63,46.94,1178100,0.4200000000000017,0.0062
2007-01-10,68.66,68.71,67.84,68.24,NOC,1031200,0.01418020679468233,0.01418020679468233,68.24,68.66,68.71,67.84,1031200,47.54,47.84,47.87,47.26,1031200,0.5699999999999932,0.0084
2007-01-11,69.2,69.35,68.45,68.6,NOC,1019000,0.022156573116691284,0.022156573116691284,68.6,69.2,69.35,68.45,1019000,47.79,48.21,48.32,47.69,1019000,0.5400000000000063,0.0079
2007-01-12,69.58,69.74,68.79,68.92,NOC,1210000,0.027769571639586342,0.027769571639586342,68.92,69.58,69.74,68.79,1210000,48.02,48.48,48.59,47.93,1210000,0.37999999999999545,0.0055
2007-01-16,69.79,69.81,69.29,69.38,NOC,894300,0.03087149187592324,0.03087149187592324,69.38,69.79,69.81,69.29,894300,48.34,48.62,48.64,48.27,894300,0.21000000000000796,0.003
2007-01-17,69.72,69.87,69.2,69.87,NOC,1159200,0.029837518463810872,0.029837518463810872,69.87,69.72,69.87,69.2,1159200,48.68,48.57,48.68,48.21,1159200,-0.07000000000000739,-0.001
2007-01-18,69.92,70.25,69.66,69.95,NOC,1288400,0.03279172821270308,0.03279172821270308,69.95,69.92,70.25,69.66,1288400,48.73,48.71,48.94,48.53,1288400,0.20000000000000284,0.0029
2007-01-19,70.29,70.43,69.98,70.17,NOC,1503000,0.03825701624815367,0.03825701624815367,70.17,70.29,70.43,69.98,1503000,48.89,48.97,49.07,48.76,1503000,0.37000000000000455,0.0053
2007-01-22,70.08,70.22,69.05,69.65,NOC,2022500,0.035155096011816774,0.035155096011816774,69.65,70.08,70.22,69.05,2022500,48.53,48.82,48.92,48.11,2022500,-0.21000000000000796,-0.003
2007-01-23,71.59,71.82,70.16,70.26,NOC,2122300,0.05745937961595274,0.05745937961595274,70.26,71.59,71.82,70.16,2122300,48.95,49.88,50.04,48.88,2122300,1.5100000000000051,0.0215
2007-01-24,71.8,71.92,71.11,71.45,NOC,1916100,0.060561299852289426,0.060561299852289426,71.45,71.8,71.92,71.11,1916100,49.78,50.02,50.11,49.54,1916100,0.20999999999999375,0.0029
2007-01-25,71.3,71.8,70.27,70.27,NOC,1204500,0.053175775480059,0.053175775480059,70.27,71.3,71.8,70.27,1204500,48.96,49.67,50.02,48.96,1204500,-0.5,-0.007
2007-01-26,70.49,71.43,70.35,71.31,NOC,1310500,0.04121122599704567,0.04121122599704567,71.31,70.49,71.43,70.35,1310500,49.68,49.11,49.77,49.01,1310500,-0.8100000000000023,-0.0114
2007-01-29,70.74,71.07,70.43,70.9,NOC,1538800,0.04490398818316089,0.04490398818316089,70.9,70.74,71.07,70.43,1538800,49.4,49.28,49.51,49.07,1538800,0.25,0.0035
2007-01-30,70.97,71.25,70.67,70.94,NOC,1164400,0.048301329394386944,0.048301329394386944,70.94,70.97,71.25,70.67,1164400,49.42,49.44,49.64,49.24,1164400,0.23000000000000398,0.0033
2007-01-31,70.94,71.15,70.55,70.55,NOC,1070700,0.0478581979320531,0.0478581979320531,70.55,70.94,71.15,70.55,1070700,49.15,49.42,49.57,49.15,1070700,-0.030000000000001137,-0.0004
2007-02-01,71.3,71.32,70.83,70.9,NOC,1933000,0.053175775480059,0.053175775480059,70.9,71.3,71.32,70.83,1933000,49.4,49.67,49.69,49.35,1933000,0.35999999999999943,0.0051
2007-02-02,72.43,72.77,71.5,71.67,NOC,1844600,0.0698670605612999,0.0698670605612999,71.67,72.43,72.77,71.5,1844600,49.93,50.46,50.7,49.81,1844600,1.1300000000000097,0.0158
2007-02-05,73.0,73.04,71.7,71.97,NOC,1479000,0.07828655834564249,0.07828655834564249,71.97,73.0,73.04,71.7,1479000,50.14,50.86,50.89,49.95,1479000,0.5699999999999932,0.0079
2007-02-06,73.25,73.44,72.65,73.0,NOC,1444800,0.08197932053175772,0.08197932053175772,73.0,73.25,73.44,72.65,1444800,50.86,51.03,51.17,50.62,1444800,0.25,0.0034
2007-02-07,73.63,73.81,73.26,73.37,NOC,1264700,0.08759231905465277,0.08759231905465277,73.37,73.63,73.81,73.26,1264700,51.12,51.3,51.42,51.04,1264700,0.37999999999999545,0.0052
2007-02-08,74.39,74.55,73.45,73.64,NOC,1945000,0.09881831610044309,0.09881831610044309,73.64,74.39,74.55,73.45,1945000,51.3,51.83,51.94,51.17,1945000,0.7600000000000051,0.0103
2007-02-09,74.0,74.44,73.67,74.2,NOC,1584700,0.09305760709010336,0.09305760709010336,74.2,74.0,74.44,73.67,1584700,51.7,51.56,51.86,51.33,1584700,-0.39000000000000057,-0.0052
2007-02-12,74.4,74.66,74.0,74.01,NOC,2134878,0.09896602658788778,0.09896602658788778,74.01,74.4,74.66,74.0,2134878,51.56,51.83,52.02,51.56,2134878,0.4000000000000057,0.0054
