date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,28.005,28.15,27.84,28.0,NRG,1022200,0.0,0.0,56.0,56.01,56.3,55.68,511100,21.664,21.6678,21.78,21.5402,1022200,0.0,0.0
2007-01-03,27.91,28.55,27.73,28.18,NRG,8179008,-0.003392251383681445,-0.003392251383681445,56.35,55.83,57.1,55.47,3148100,21.69,21.49,21.98,21.35,8179008,-0.09499999999999886,-0.0034
2007-01-04,27.7,28.01,27.52,27.93,NRG,3567420,-0.010890912337082654,-0.010890912337082654,55.85,55.4,56.02,55.05,1373100,21.5,21.32,21.56,21.19,3567420,-0.21000000000000085,-0.0075
2007-01-05,27.25,27.84,27.21,27.74,NRG,4157443,-0.026959471522942296,-0.026959471522942296,55.48,54.51,55.67,54.43,1600200,21.35,20.98,21.43,20.95,4157443,-0.4499999999999993,-0.0162
2007-01-08,27.48,27.64,27.27,27.38,NRG,3550533,-0.018746652383502895,-0.018746652383502895,54.76,54.95,55.28,54.55,1366600,21.08,21.15,21.28,21.0,3550533,0.23000000000000043,0.0084
2007-01-09,27.7,27.82,27.3,27.4,NRG,3539361,-0.010890912337082654,-0.010890912337082654,54.8,55.39,55.65,54.6,1362300,21.09,21.32,21.42,21.02,3539361,0.21999999999999886,0.008
2007-01-10,27.99,28.01,27.57,27.63,NRG,3498051,-0.0005356186395286759,-0.0005356186395286759,55.25,55.98,56.02,55.13,1346400,21.27,21.55,21.56,21.22,3498051,0.28999999999999915,0.0105
2007-01-11,28.14,28.28,27.9,27.99,NRG,3542479,0.004820567755757957,0.004820567755757957,55.98,56.29,56.56,55.8,1363500,21.55,21.67,21.77,21.48,3542479,0.15000000000000213,0.0054
2007-01-12,27.98,28.21,27.83,28.05,NRG,3872954,-0.0008926977325477086,-0.0008926977325477086,56.1,55.97,56.42,55.66,1490700,21.59,21.54,21.72,21.42,3872954,-0.16000000000000014,-0.0057
2007-01-16,28.01,28.1,27.82,27.9,NRG,1637308,0.00017853954650964322,0.00017853954650964322,55.8,56.02,56.2,55.65,630200,21.48,21.56,21.63,21.42,1637308,0.030000000000001137,0.0011
2007-01-17,27.99,28.09,27.77,27.98,NRG,2288127,-0.0005356186395286759,-0.0005356186395286759,55.95,55.98,56.18,55.54,880700,21.54,21.55,21.62,21.38,2288127,-0.020000000000003126,-0.0007
2007-01-18,28.02,28.18,27.82,28.08,NRG,2764095,0.0005356186395286759,0.0005356186395286759,56.16,56.04,56.35,55.65,1063900,21.62,21.57,21.69,21.42,2764095,0.030000000000001137,0.0011
2007-01-19,28.45,28.52,27.94,27.99,NRG,2997402,0.015890019639350127,0.015890019639350127,55.98,56.89,57.04,55.88,1153700,21.55,21.9,21.95,21.51,2997402,0.4299999999999997,0.0153
2007-01-22,28.74,28.8,28.5,28.57,NRG,2161081,0.026245313336904105,0.026245313336904105,57.14,57.48,57.6,57.0,831800,21.99,22.12,22.17,21.94,2161081,0.28999999999999915,0.0102
2007-01-23,29.03,29.23,28.66,28.8,NRG,2491037,0.03660060703445821,0.03660060703445821,57.6,58.06,58.45,57.33,958800,22.17,22.35,22.5,22.07,2491037,0.2900000000000027,0.0101
2007-01-24,29.09,29.09,28.9,29.05,NRG,1690569,0.03874308159257279,0.03874308159257279,58.1,58.18,58.19,57.8,650700,22.36,22.39,22.4,22.25,1690569,0.05999999999999872,0.0021
2007-01-25,29.16,29.49,29.06,29.2,NRG,2086516,0.04124263524370652,0.04124263524370652,58.41,58.31,58.98,58.12,803100,22.48,22.44,22.7,22.37,2086516,0.07000000000000028,0.0024
2007-01-26,29.18,29.25,28.88,29.15,NRG,2130683,0.04195679342974472,0.04195679342974472,58.3,58.37,58.5,57.75,820100,22.44,22.47,22.52,22.23,2130683,0.019999999999999574,0.0007
2007-01-29,29.3,30.11,29.25,29.3,NRG,6592102,0.046241742545974,0.046241742545974,58.6,58.6,60.23,58.5,2537300,22.56,22.56,23.18,22.52,6592102,0.120000000000001,0.0041
2007-01-30,29.73,29.8,29.56,29.68,NRG,4089374,0.06159614354579545,0.06159614354579545,59.37,59.45,59.6,59.12,1574000,22.85,22.88,22.94,22.76,4089374,0.4299999999999997,0.0147
2007-01-31,29.96,30.02,29.52,29.73,NRG,2587945,0.06980896268523484,0.06980896268523484,59.45,59.93,60.04,59.05,996100,22.88,23.07,23.11,22.73,2587945,0.23000000000000043,0.0077
2007-02-01,30.29,30.31,29.88,29.98,NRG,3177968,0.08159257275486521,0.08159257275486521,59.95,60.58,60.62,59.76,1223200,23.07,23.32,23.33,23.0,3177968,0.3299999999999983,0.011
2007-02-02,30.52,30.52,30.25,30.29,NRG,1876851,0.08980539189430461,0.08980539189430461,60.58,61.04,61.05,60.5,722400,23.32,23.49,23.5,23.29,1876851,0.23000000000000043,0.0076
2007-02-05,30.64,30.73,30.5,30.6,NRG,2028319,0.09409034101053389,0.09409034101053389,61.2,61.29,61.45,61.0,780700,23.56,23.59,23.65,23.48,2028319,0.120000000000001,0.0039
2007-02-06,30.27,30.82,30.1,30.82,NRG,3210704,0.08087841456882702,0.08087841456882702,61.63,60.53,61.63,60.2,1235800,23.72,23.3,23.72,23.17,3210704,-0.370000000000001,-0.0121
2007-02-07,30.04,30.51,30.0,30.43,NRG,2445830,0.07266559542938762,0.07266559542938762,60.86,60.07,61.02,60.0,941400,23.43,23.12,23.49,23.09,2445830,-0.23000000000000043,-0.0076
2007-02-08,30.16,30.3,29.98,29.98,NRG,2961808,0.0769505445456169,0.0769505445456169,59.95,60.32,60.61,59.95,1140000,23.07,23.22,23.33,23.07,2961808,0.120000000000001,0.004
2007-02-09,30.05,30.3,29.95,30.2,NRG,1568459,0.07302267452240678,0.07302267452240678,60.4,60.1,60.61,59.91,603700,23.25,23.13,23.33,23.06,1568459,-0.10999999999999943,-0.0036
2007-02-12,29.88,30.09,29.77,30.09,NRG,3284276,0.06695232994108195,0.06695232994108195,60.18,59.75,60.18,59.55,1264118,23.16,23.0,23.16,22.92,3284276,-0.1700000000000017,-0.0057
2007-02-13,29.98,30.06,29.86,29.97,NRG,1785079,0.07052312087127303,0.07052312087127303,59.94,59.95,60.12,59.73,687077,23.07,23.07,23.14,22.99,1785079,0.10000000000000142,0.0033
