date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,50.29,50.78,50.08,50.21,NSC,2420600,0.0,0.0,50.21,50.29,50.78,50.08,2420600,35.4855,35.542,35.8883,35.3936,2420600,0.0,0.0
2007-01-03,49.23,50.98,48.94,50.46,NSC,3402600,-0.02107774905547827,-0.02107774905547827,50.46,49.23,50.98,48.94,3402600,34.17,33.34,34.52,33.14,3402600,-1.0600000000000023,-0.0211
2007-01-04,48.41,49.46,47.94,49.44,NSC,3983800,-0.03738317757009351,-0.03738317757009351,49.44,48.41,49.46,47.94,3983800,33.48,32.78,33.49,32.46,3983800,-0.8200000000000003,-0.0167
2007-01-05,49.2,49.62,48.62,49.0,NSC,4319400,-0.021674289123086027,-0.021674289123086027,49.0,49.2,49.62,48.62,4319400,33.18,33.32,33.6,32.93,4319400,0.7900000000000063,0.0163
2007-01-08,48.92,49.35,48.5,48.95,NSC,2320300,-0.027241996420759543,-0.027241996420759543,48.95,48.92,49.35,48.5,2320300,33.15,33.13,33.42,32.84,2320300,-0.28000000000000114,-0.0057
2007-01-09,48.57,49.21,48.27,49.03,NSC,1879100,-0.03420163054285144,-0.03420163054285144,49.03,48.57,49.21,48.27,1879100,33.2,32.89,33.33,32.69,1879100,-0.3500000000000014,-0.0072
2007-01-10,48.19,48.32,47.42,48.1,NSC,2285600,-0.04175780473255123,-0.04175780473255123,48.1,48.19,48.32,47.42,2285600,32.57,32.63,32.72,32.11,2285600,-0.38000000000000256,-0.0078
2007-01-11,49.14,49.24,48.28,48.44,NSC,2970900,-0.022867369258301823,-0.022867369258301823,48.44,49.14,49.24,48.28,2970900,32.8,33.28,33.35,32.7,2970900,0.9500000000000028,0.0197
2007-01-12,50.3,50.3,49.25,49.25,NSC,1922300,0.00019884668920258522,0.00019884668920258522,49.25,50.3,50.3,49.25,1922300,33.35,34.06,34.06,33.35,1922300,1.1599999999999966,0.0236
2007-01-16,52.02,52.13,50.14,50.14,NSC,4241900,0.034400477232054166,0.034400477232054166,50.14,52.02,52.13,50.14,4241900,33.95,35.23,35.3,33.95,4241900,1.720000000000006,0.0342
2007-01-17,51.41,52.09,50.41,52.02,NSC,3589900,0.022270829190693925,0.022270829190693925,52.02,51.41,52.09,50.41,3589900,35.23,34.81,35.28,34.14,3589900,-0.6100000000000065,-0.0117
2007-01-18,52.49,52.96,51.32,51.5,NSC,4186100,0.04374627162457751,0.04374627162457751,51.5,52.49,52.96,51.32,4186100,34.88,35.55,35.86,34.75,4186100,1.0800000000000054,0.021
2007-01-19,52.98,53.65,52.25,52.8,NSC,3961200,0.05348975939550602,0.05348975939550602,52.8,52.98,53.65,52.25,3961200,35.76,35.88,36.33,35.38,3961200,0.4899999999999949,0.0093
2007-01-22,52.11,52.98,51.65,52.98,NSC,2499000,0.036190097434877715,0.036190097434877715,52.98,52.11,52.98,51.65,2499000,35.88,35.29,35.88,34.98,2499000,-0.8699999999999974,-0.0164
2007-01-23,53.73,53.84,51.07,51.88,NSC,4794200,0.06840326108570288,0.06840326108570288,51.88,53.73,53.84,51.07,4794200,35.13,36.39,36.46,34.58,4794200,1.6199999999999974,0.0311
2007-01-24,50.61,52.99,50.37,52.99,NSC,6977800,0.006363094054483999,0.006363094054483999,52.99,50.61,52.99,50.37,6977800,35.88,34.27,35.88,34.11,6977800,-3.1199999999999974,-0.0581
2007-01-25,48.82,50.48,48.63,50.4,NSC,5358800,-0.02923046331278582,-0.02923046331278582,50.4,48.82,50.48,48.63,5358800,34.13,33.06,34.19,32.93,5358800,-1.7899999999999991,-0.0354
2007-01-26,48.0,48.82,47.8,48.8,NSC,7968400,-0.04553589182740106,-0.04553589182740106,48.8,48.0,48.82,47.8,7968400,33.05,32.51,33.06,32.37,7968400,-0.8200000000000003,-0.0168
2007-01-29,47.56,48.36,47.25,48.0,NSC,7175100,-0.054285146152316506,-0.054285146152316506,48.0,47.56,48.36,47.25,7175100,32.51,32.21,32.75,32.0,7175100,-0.4399999999999977,-0.0092
2007-01-30,47.54,47.87,47.41,47.49,NSC,4429000,-0.05468283953072182,-0.05468283953072182,47.49,47.54,47.87,47.41,4429000,32.16,32.19,32.42,32.11,4429000,-0.020000000000003126,-0.0004
2007-01-31,49.65,49.92,47.05,47.3,NSC,7908900,-0.012726188108967997,-0.012726188108967997,47.3,49.65,49.92,47.05,7908900,32.18,33.78,33.96,32.01,7908900,2.1099999999999994,0.0444
2007-02-01,50.35,50.77,49.45,49.55,NSC,5477900,0.0011930801352157939,0.0011930801352157939,49.55,50.35,50.77,49.45,5477900,33.71,34.25,34.54,33.64,5477900,0.7000000000000028,0.0141
2007-02-02,50.88,51.35,50.25,50.36,NSC,4538600,0.01173195466295493,0.01173195466295493,50.36,50.88,51.35,50.25,4538600,34.26,34.61,34.93,34.19,4538600,0.5300000000000011,0.0105
2007-02-05,49.99,50.79,49.86,50.55,NSC,3206200,-0.005965400676078687,-0.005965400676078687,50.55,49.99,50.79,49.86,3206200,34.39,34.01,34.55,33.92,3206200,-0.8900000000000006,-0.0175
2007-02-06,49.87,50.14,49.58,49.98,NSC,4204300,-0.008351560946510274,-0.008351560946510274,49.98,49.87,50.14,49.58,4204300,34.0,33.93,34.11,33.73,4204300,-0.12000000000000455,-0.0024
2007-02-07,49.69,50.9,49.45,50.1,NSC,5543300,-0.011930801352157515,-0.011930801352157515,50.1,49.69,50.9,49.45,5543300,34.08,33.8,34.63,33.64,5543300,-0.17999999999999972,-0.0036
2007-02-08,49.01,49.73,48.86,49.65,NSC,3328200,-0.025452376217935994,-0.025452376217935994,49.65,49.01,49.73,48.86,3328200,33.78,33.34,33.83,33.24,3328200,-0.6799999999999997,-0.0137
2007-02-09,48.94,49.86,48.71,49.15,NSC,3833700,-0.026844303042354373,-0.026844303042354373,49.15,48.94,49.86,48.71,3833700,33.44,33.29,33.92,33.14,3833700,-0.07000000000000028,-0.0014
2007-02-12,48.42,49.2,48.15,49.01,NSC,3862586,-0.037184330880890785,-0.037184330880890785,49.01,48.42,49.2,48.15,3862586,33.34,32.94,33.47,32.76,3862586,-0.519999999999996,-0.0106
2007-02-13,50.41,50.62,48.52,48.75,NSC,4902886,0.0023861602704314464,0.0023861602704314464,48.75,50.41,50.62,48.52,4902886,33.16,34.29,34.44,33.01,4902886,1.9899999999999949,0.0411
