date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,32.06,32.42,31.93,32.36,ORLY,435450,0.0,0.0,32.36,32.06,32.42,31.93,435450,32.36,32.06,32.42,31.93,435450,0.0,0.0
2007-01-03,32.19,32.75,31.84,32.18,ORLY,971906,0.004054897067997363,0.004054897067997363,32.18,32.19,32.75,31.84,971906,32.18,32.19,32.75,31.84,971906,0.12999999999999545,0.0041
2007-01-04,32.35,32.46,32.15,32.22,ORLY,586297,0.009045539613225176,0.009045539613225176,32.22,32.35,32.46,32.15,586297,32.22,32.35,32.46,32.15,586297,0.1600000000000037,0.005
2007-01-05,31.94,32.26,31.92,32.21,ORLY,363909,-0.0037429819089208043,-0.0037429819089208043,32.21,31.94,32.26,31.92,363909,32.21,31.94,32.26,31.92,363909,-0.41000000000000014,-0.0127
2007-01-08,31.68,32.0,31.45,31.89,ORLY,338048,-0.011852776044915862,-0.011852776044915862,31.89,31.68,32.0,31.45,338048,31.89,31.68,32.0,31.45,338048,-0.26000000000000156,-0.0081
2007-01-09,31.92,32.05,31.59,31.68,ORLY,407784,-0.004366812227074253,-0.004366812227074253,31.68,31.92,32.05,31.59,407784,31.68,31.92,32.05,31.59,407784,0.240000000000002,0.0076
2007-01-10,32.04,32.1,31.78,31.92,ORLY,358330,-0.0006238303181535597,-0.0006238303181535597,31.92,32.04,32.1,31.78,358330,31.92,32.04,32.1,31.78,358330,0.11999999999999744,0.0038
2007-01-11,32.31,32.49,32.06,32.07,ORLY,729998,0.0077978789769182775,0.0077978789769182775,32.07,32.31,32.49,32.06,729998,32.07,32.31,32.49,32.06,729998,0.2700000000000031,0.0084
2007-01-12,32.52,32.64,32.21,32.21,ORLY,794852,0.014348097317529658,0.014348097317529658,32.21,32.52,32.64,32.21,794852,32.21,32.52,32.64,32.21,794852,0.21000000000000085,0.0065
2007-01-16,32.54,32.75,32.5,32.58,ORLY,545042,0.014971927635682995,0.014971927635682995,32.58,32.54,32.75,32.5,545042,32.58,32.54,32.75,32.5,545042,0.01999999999999602,0.0006
2007-01-17,32.62,32.72,32.42,32.42,ORLY,356107,0.01746724890829679,0.01746724890829679,32.42,32.62,32.72,32.42,356107,32.42,32.62,32.72,32.42,356107,0.0799999999999983,0.0025
2007-01-18,32.35,32.75,32.35,32.62,ORLY,262786,0.009045539613225176,0.009045539613225176,32.62,32.35,32.75,32.35,262786,32.62,32.35,32.75,32.35,262786,-0.269999999999996,-0.0083
2007-01-19,32.4,32.5,32.13,32.33,ORLY,651838,0.010605115408608742,0.010605115408608742,32.33,32.4,32.5,32.13,651838,32.33,32.4,32.5,32.13,651838,0.04999999999999716,0.0015
2007-01-22,33.31,33.67,32.87,33.49,ORLY,998620,0.03898939488459139,0.03898939488459139,33.49,33.31,33.67,32.87,998620,33.49,33.31,33.67,32.87,998620,0.9100000000000037,0.0281
2007-01-23,33.77,33.84,33.05,33.14,ORLY,557166,0.05333749220212105,0.05333749220212105,33.14,33.77,33.84,33.05,557166,33.14,33.77,33.84,33.05,557166,0.46000000000000085,0.0138
2007-01-24,34.04,34.15,33.63,33.71,ORLY,902982,0.06175920149719266,0.06175920149719266,33.71,34.04,34.15,33.63,902982,33.71,34.04,34.15,33.63,902982,0.269999999999996,0.008
2007-01-25,33.21,34.12,33.0,34.0,ORLY,675480,0.03587024329382403,0.03587024329382403,34.0,33.21,34.12,33.0,675480,34.0,33.21,34.12,33.0,675480,-0.8299999999999983,-0.0244
2007-01-26,33.3,33.39,33.04,33.25,ORLY,420448,0.038677479725514496,0.038677479725514496,33.25,33.3,33.39,33.04,420448,33.25,33.3,33.39,33.04,420448,0.0899999999999963,0.0027
2007-01-29,33.1,33.5,33.06,33.23,ORLY,671502,0.03243917654398001,0.03243917654398001,33.23,33.1,33.5,33.06,671502,33.23,33.1,33.5,33.06,671502,-0.19999999999999574,-0.006
2007-01-30,32.74,33.2,32.5,33.2,ORLY,743562,0.021210230817217707,0.021210230817217707,33.2,32.74,33.2,32.5,743562,33.2,32.74,33.2,32.5,743562,-0.35999999999999943,-0.0109
2007-01-31,34.91,35.0,33.4,33.8,ORLY,1323430,0.08889582033686819,0.08889582033686819,33.8,34.91,35.0,33.4,1323430,33.8,34.91,35.0,33.4,1323430,2.1699999999999946,0.0663
2007-02-01,34.66,35.2,34.64,35.01,ORLY,803306,0.08109794135994991,0.08109794135994991,35.01,34.66,35.2,34.64,803306,35.01,34.66,35.2,34.64,803306,-0.25,-0.0072
