date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,27.7,27.98,27.65,27.87,O,389500,0.0,0.0,27.87,27.7,27.98,27.65,389500,13.1997,13.1192,13.2518,13.0955,389500,0.0,0.0
2007-01-03,26.91,27.28,26.61,26.85,O,540300,-0.02851985559566784,-0.02851985559566784,27.66,27.72,28.1,27.41,540300,11.52,11.55,11.71,11.42,540300,-0.7899999999999991,-0.0285
2007-01-04,27.11,27.13,26.5,26.91,O,457600,-0.02129963898916967,-0.02129963898916967,27.72,27.93,27.95,27.3,457600,11.55,11.64,11.64,11.37,457600,0.1999999999999993,0.0074
2007-01-05,26.3,27.11,26.3,27.11,O,591300,-0.05054151624548731,-0.05054151624548731,27.93,27.09,27.93,27.09,591300,11.64,11.29,11.64,11.29,591300,-0.8099999999999987,-0.0299
2007-01-08,26.23,26.35,26.0,26.28,O,456200,-0.053068592057761696,-0.053068592057761696,27.07,27.02,27.15,26.78,456200,11.28,11.26,11.31,11.16,456200,-0.07000000000000028,-0.0027
2007-01-09,26.5,26.53,26.0,26.19,O,366600,-0.04332129963898915,-0.04332129963898915,26.98,27.3,27.33,26.78,366600,11.24,11.37,11.39,11.16,366600,0.2699999999999996,0.0103
2007-01-10,26.62,26.67,26.21,26.35,O,377100,-0.03898916967509019,-0.03898916967509019,27.15,27.42,27.48,27.0,377100,11.31,11.42,11.45,11.25,377100,0.120000000000001,0.0045
2007-01-11,26.91,27.13,26.6,26.67,O,324000,-0.02851985559566784,-0.02851985559566784,27.48,27.72,27.95,27.4,324000,11.45,11.55,11.64,11.41,324000,0.28999999999999915,0.0109
2007-01-12,26.94,27.0,26.83,26.95,O,250000,-0.02743682310469307,-0.02743682310469307,27.76,27.75,27.81,27.64,250000,11.56,11.56,11.59,11.51,250000,0.030000000000001137,0.0011
2007-01-16,27.22,27.26,26.95,27.13,O,449100,-0.017328519855595685,-0.017328519855595685,27.95,28.04,28.08,27.76,449100,11.64,11.68,11.7,11.56,449100,0.2799999999999976,0.0104
2007-01-17,27.12,27.36,26.99,27.22,O,319400,-0.020938628158844706,-0.020938628158844706,28.04,27.94,28.19,27.8,319400,11.68,11.64,11.74,11.58,319400,-0.09999999999999787,-0.0037
2007-01-18,27.03,27.18,26.77,26.86,O,432000,-0.024187725631768887,-0.024187725631768887,27.67,27.85,28.0,27.58,432000,11.53,11.6,11.66,11.49,432000,-0.08999999999999986,-0.0033
2007-01-19,27.35,27.35,26.69,27.03,O,333700,-0.012635379061371764,-0.012635379061371764,27.85,28.18,28.18,27.5,333700,11.6,11.74,11.74,11.46,333700,0.3200000000000003,0.0118
2007-01-22,26.98,27.3,26.94,27.3,O,373200,-0.025992779783393462,-0.025992779783393462,28.12,27.79,28.12,27.75,373200,11.71,11.58,11.71,11.56,373200,-0.370000000000001,-0.0135
2007-01-23,27.14,27.28,26.83,26.89,O,293300,-0.0202166064981949,-0.0202166064981949,27.7,27.96,28.1,27.64,293300,11.54,11.65,11.71,11.51,293300,0.16000000000000014,0.0059
2007-01-24,27.62,27.65,27.18,27.2,O,339800,-0.0028880866425992167,-0.0028880866425992167,28.02,28.45,28.48,28.0,339800,11.67,11.85,11.86,11.66,339800,0.4800000000000004,0.0177
2007-01-25,27.63,27.82,27.39,27.7,O,531400,-0.0025270758122743786,-0.0025270758122743786,28.54,28.46,28.66,28.22,531400,11.89,11.86,11.94,11.76,531400,0.00999999999999801,0.0004
2007-01-26,27.63,27.65,27.33,27.63,O,309500,-0.0025270758122743786,-0.0025270758122743786,28.46,28.46,28.48,28.15,309500,11.86,11.86,11.86,11.73,309500,0.0,0.0
2007-01-29,27.81,27.96,27.5,27.5,O,337000,0.0039711191335739865,0.0039711191335739865,28.33,28.65,28.8,28.33,337000,11.8,11.94,12.0,11.8,337000,0.17999999999999972,0.0065
2007-01-30,27.83,27.83,27.41,27.76,O,257900,0.004693140794223791,0.004693140794223791,28.6,28.67,28.67,28.24,257900,11.97,12.0,12.0,11.82,257900,0.019999999999999574,0.0007
2007-01-31,27.94,28.2,27.59,27.87,O,411500,0.008664259927797907,0.008664259927797907,28.71,28.78,29.05,28.42,411500,12.01,12.04,12.15,11.89,411500,0.11000000000000298,0.004
2007-02-01,28.15,28.15,27.72,27.97,O,311400,0.016245487364620913,0.016245487364620913,28.81,29.0,29.0,28.56,311400,12.05,12.13,12.13,11.95,311400,0.2099999999999973,0.0075
2007-02-02,28.15,28.15,27.93,28.08,O,327800,0.016245487364620913,0.016245487364620913,28.93,29.0,29.0,28.77,327800,12.1,12.13,12.13,12.04,327800,0.0,0.0
2007-02-05,28.26,28.3,27.96,28.02,O,378400,0.02021660649819503,0.02021660649819503,28.87,29.11,29.15,28.8,378400,12.08,12.18,12.2,12.05,378400,0.11000000000000298,0.0039
2007-02-06,28.64,28.66,28.2,28.29,O,366400,0.03393501805054156,0.03393501805054156,29.14,29.5,29.53,29.05,366400,12.19,12.34,12.36,12.15,366400,0.379999999999999,0.0134
2007-02-07,29.31,29.31,28.52,28.64,O,495500,0.05812274368231045,0.05812274368231045,29.5,30.19,30.19,29.38,495500,12.34,12.63,12.63,12.29,495500,0.6699999999999982,0.0234
2007-02-08,28.92,29.47,28.83,29.29,O,621300,0.04404332129963908,0.04404332129963908,30.17,29.79,30.36,29.7,621300,12.62,12.46,12.7,12.43,621300,-0.389999999999997,-0.0133
2007-02-09,28.25,29.02,27.54,28.89,O,1055000,0.01985559566787006,0.01985559566787006,29.76,29.1,29.9,28.37,1055000,12.45,12.18,12.51,11.87,1055000,-0.6700000000000017,-0.0232
2007-02-12,27.82,28.26,27.33,28.25,O,681336,0.004332129963898953,0.004332129963898953,29.1,28.66,29.11,28.16,681336,12.18,11.99,12.18,11.78,681336,-0.4299999999999997,-0.0152
2007-02-13,28.24,28.24,27.42,27.79,O,568640,0.019494584837545095,0.019494584837545095,28.63,29.09,29.09,28.25,568640,11.98,12.17,12.17,11.82,568640,0.41999999999999815,0.0151
2007-02-14,27.9,28.54,27.76,28.22,O,536086,0.007220216606498169,0.007220216606498169,29.07,28.74,29.4,28.6,536086,12.16,12.02,12.3,11.97,536086,-0.33999999999999986,-0.012
2007-02-15,28.26,28.44,27.76,27.96,O,443500,0.02021660649819503,0.02021660649819503,28.8,29.11,29.3,28.6,443500,12.05,12.18,12.26,11.97,443500,0.360000000000003,0.0129
