date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,33.19,33.33,33.03,33.265,PEG,1205200,0.0,0.0,66.53,66.38,66.66,66.06,602600,18.4536,18.412,18.4897,18.3233,1205200,0.0,0.0
2007-01-03,33.34,33.77,33.2,33.23,PEG,724200,0.004519433564326776,0.004519433564326776,66.45,66.67,67.55,66.4,724200,17.76,17.81,18.05,17.74,724200,0.15000000000000568,0.0045
2007-01-04,33.23,33.4,33.04,33.28,PEG,808500,0.0012051822838204022,0.0012051822838204022,66.56,66.46,66.8,66.08,808500,17.78,17.76,17.85,17.66,808500,-0.11000000000000654,-0.0033
2007-01-05,32.48,33.16,32.41,33.07,PEG,847000,-0.02139198553781262,-0.02139198553781262,66.14,64.96,66.32,64.83,847000,17.67,17.36,17.72,17.32,847000,-0.75,-0.0226
2007-01-08,32.49,32.63,32.16,32.56,PEG,725400,-0.02109068996685736,-0.02109068996685736,65.13,64.99,65.27,64.32,725400,17.4,17.37,17.44,17.19,725400,0.010000000000005116,0.0003
2007-01-09,33.19,33.35,32.44,32.52,PEG,2259200,0.0,0.0,65.04,66.37,66.7,64.87,2259200,17.38,17.73,17.82,17.33,2259200,0.6999999999999957,0.0215
2007-01-10,33.0,33.24,32.91,33.06,PEG,917000,-0.005724615848146964,-0.005724615848146964,66.12,66.0,66.49,65.83,917000,17.67,17.64,17.77,17.59,917000,-0.18999999999999773,-0.0057
2007-01-11,32.83,33.22,32.73,33.08,PEG,667600,-0.010846640554383833,-0.010846640554383833,66.15,65.66,66.43,65.47,667600,17.68,17.54,17.75,17.49,667600,-0.1700000000000017,-0.0052
2007-01-12,32.73,32.91,32.54,32.84,PEG,1150900,-0.013859596263934947,-0.013859596263934947,65.67,65.46,65.83,65.08,1150900,17.55,17.49,17.59,17.39,1150900,-0.10000000000000142,-0.003
2007-01-16,32.92,33.1,32.63,32.66,PEG,674700,-0.008134980415787769,-0.008134980415787769,65.32,65.85,66.2,65.26,674700,17.45,17.6,17.69,17.44,674700,0.19000000000000483,0.0058
2007-01-17,32.85,33.05,32.69,32.8,PEG,635700,-0.010244049412473526,-0.010244049412473526,65.6,65.71,66.1,65.38,635700,17.53,17.56,17.66,17.47,635700,-0.07000000000000028,-0.0021
2007-01-18,32.95,33.08,32.86,33.01,PEG,647200,-0.007231093702922413,-0.007231093702922413,66.02,65.91,66.16,65.72,647200,17.64,17.61,17.68,17.56,647200,0.10000000000000142,0.003
2007-01-19,33.0,33.06,32.85,33.06,PEG,788000,-0.005724615848146964,-0.005724615848146964,66.13,66.0,66.13,65.7,788000,17.67,17.64,17.67,17.56,788000,0.04999999999999716,0.0015
2007-01-22,33.01,33.16,32.87,32.93,PEG,777800,-0.005423320277191917,-0.005423320277191917,65.86,66.02,66.31,65.74,777800,17.6,17.64,17.72,17.57,777800,0.00999999999999801,0.0003
2007-01-23,33.23,33.37,32.9,33.01,PEG,758400,0.0012051822838204022,0.0012051822838204022,66.02,66.45,66.73,65.8,758400,17.64,17.76,17.83,17.58,758400,0.21999999999999886,0.0067
