date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,51.2533,51.76,51.1867,51.3467,PH,1007249.9999999997,0.0,0.0,77.02,76.88,77.64,76.78,671500,39.1329,39.0618,39.448,39.011,1007249.9999999997,0.0,0.0
2007-01-03,51.21,51.92,50.84,51.48,PH,997100.0,-0.0008448236503796265,-0.0008448236503796265,77.22,76.81,77.87,76.26,997100,38.11,37.91,38.43,37.63,997100.0,-0.043300000000002115,-0.0008
2007-01-04,50.8,51.1,50.46,51.01,PH,941100.0,-0.008844308561595172,-0.008844308561595172,76.51,76.19,76.65,75.69,941100,37.76,37.6,37.83,37.35,941100.0,-0.4100000000000037,-0.008
2007-01-05,50.92,51.75,50.81,51.4,PH,1567000.0,-0.006502995904653968,-0.006502995904653968,77.1,76.38,77.62,76.21,1567000,38.05,37.69,38.31,37.61,1567000.0,0.12000000000000455,0.0024
2007-01-08,51.21,51.32,50.42,50.79,PH,969300.0,-0.0008448236503796265,-0.0008448236503796265,76.18,76.81,76.98,75.62,969300,37.59,37.91,37.99,37.32,969300.0,0.28999999999999915,0.0057
2007-01-09,51.47,51.61,50.69,51.07,PH,1020600.0,0.004228020439659415,0.004228020439659415,76.6,77.2,77.41,76.03,1020600,37.8,38.1,38.2,37.52,1020600.0,0.259999999999998,0.0051
2007-01-10,51.5,51.52,50.9,51.1,PH,889600.0,0.004813348603894716,0.004813348603894716,76.64,77.25,77.27,76.35,889600,37.82,38.12,38.13,37.68,889600.0,0.030000000000001137,0.0006
2007-01-11,51.86,51.94,51.38,51.64,PH,1106200.0,0.011837286574718046,0.011837286574718046,77.46,77.79,77.91,77.07,1106200,38.23,38.39,38.45,38.03,1106200.0,0.35999999999999943,0.007
2007-01-12,52.07,52.38,51.59,51.74,PH,684900.0,0.01593458372436501,0.01593458372436501,77.6,78.1,78.57,77.38,684900,38.3,38.54,38.77,38.19,684900.0,0.21000000000000085,0.004
2007-01-16,52.25,52.4,51.74,52.07,PH,1705100.0,0.019446552709776677,0.019446552709776677,78.1,78.37,78.59,77.6,1705100,38.54,38.68,38.78,38.3,1705100.0,0.17999999999999972,0.0035
