date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,37.79,38.37,37.57,37.8,QCOM,10863543,0.0,0.0,37.8,37.79,38.37,37.57,10863543,25.4394,25.4326,25.823,25.2846,10863543,0.0,0.0
2007-01-03,37.46,38.77,36.79,37.76,QCOM,24286548,-0.00873246890711824,-0.00873246890711824,37.76,37.46,38.77,36.79,24286548,25.45,25.25,26.13,24.8,24286548,-0.3299999999999983,-0.0087
2007-01-04,39.15,39.4,37.4,37.46,QCOM,26197455,0.03598835670812383,0.03598835670812383,37.46,39.15,39.4,37.4,26197455,25.25,26.39,26.56,25.21,26197455,1.6899999999999977,0.0451
2007-01-05,38.69,38.94,37.87,38.9,QCOM,18415432,0.02381582429214074,0.02381582429214074,38.9,38.69,38.94,37.87,18415432,26.22,26.08,26.25,25.52,18415432,-0.46000000000000085,-0.0117
2007-01-08,38.26,38.75,38.0,38.75,QCOM,13545429,0.01243715268589571,0.01243715268589571,38.75,38.26,38.75,38.0,13545429,26.12,25.79,26.12,25.61,13545429,-0.4299999999999997,-0.0111
2007-01-09,37.84,38.65,37.84,38.5,QCOM,15965427,0.0013231013495634894,0.0013231013495634894,38.5,37.84,38.65,37.84,15965427,25.95,25.5,26.05,25.5,15965427,-0.4199999999999946,-0.011
2007-01-10,38.55,38.56,37.59,37.65,QCOM,14338664,0.02011114051336327,0.02011114051336327,37.65,38.55,38.56,37.59,14338664,25.38,25.98,25.99,25.34,14338664,0.7099999999999937,0.0188
2007-01-11,39.48,39.64,38.1,38.66,QCOM,20555137,0.04472082561524207,0.04472082561524207,38.66,39.48,39.64,38.1,20555137,26.06,26.61,26.72,25.68,20555137,0.9299999999999997,0.0241
2007-01-12,39.62,39.94,39.12,39.25,QCOM,14336225,0.04842550939401954,0.04842550939401954,39.25,39.62,39.94,39.12,14336225,26.45,26.7,26.92,26.37,14336225,0.14000000000000057,0.0035
2007-01-16,39.47,39.95,39.04,39.62,QCOM,13713259,0.044456205345329444,0.044456205345329444,39.62,39.47,39.95,39.04,13713259,26.7,26.6,26.93,26.31,13713259,-0.14999999999999858,-0.0038
2007-01-17,39.19,39.96,39.0,39.17,QCOM,17329908,0.037046837787774504,0.037046837787774504,39.17,39.19,39.96,39.0,17329908,26.4,26.41,26.93,26.29,17329908,-0.28000000000000114,-0.0071
2007-01-18,38.49,39.35,38.33,38.79,QCOM,17245570,0.018523418893887346,0.018523418893887346,38.79,38.49,39.35,38.33,17245570,26.14,25.94,26.52,25.83,17245570,-0.6999999999999957,-0.0179
