date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,20.07,20.17,19.91,20.08,REGN,283547,0.0,0.0,20.08,20.07,20.17,19.91,283547,20.08,20.07,20.17,19.91,283547,0.0,0.0
2007-01-03,19.81,20.14,19.23,19.93,REGN,545803,-0.012954658694569085,-0.012954658694569085,19.93,19.81,20.14,19.23,545803,19.93,19.81,20.14,19.23,545803,-0.26000000000000156,-0.013
2007-01-04,20.18,20.53,19.46,19.81,REGN,643567,0.005480817140009937,0.005480817140009937,19.81,20.18,20.53,19.46,643567,19.81,20.18,20.53,19.46,643567,0.370000000000001,0.0187
2007-01-05,20.8,20.82,19.99,20.07,REGN,696332,0.036372695565520696,0.036372695565520696,20.07,20.8,20.82,19.99,696332,20.07,20.8,20.82,19.99,696332,0.620000000000001,0.0307
2007-01-08,21.15,21.45,20.78,20.85,REGN,681439,0.053811659192825025,0.053811659192825025,20.85,21.15,21.45,20.78,681439,20.85,21.15,21.45,20.78,681439,0.34999999999999787,0.0168
2007-01-09,21.27,21.46,20.72,21.07,REGN,396245,0.05979073243647231,0.05979073243647231,21.07,21.27,21.46,20.72,396245,21.07,21.27,21.46,20.72,396245,0.120000000000001,0.0057
2007-01-10,21.92,21.94,20.87,21.17,REGN,586545,0.09217737917289494,0.09217737917289494,21.17,21.92,21.94,20.87,586545,21.17,21.92,21.94,20.87,586545,0.6500000000000021,0.0306
2007-01-11,22.55,22.74,21.9,21.95,REGN,735847,0.12356751370204287,0.12356751370204287,21.95,22.55,22.74,21.9,735847,21.95,22.55,22.74,21.9,735847,0.629999999999999,0.0287
2007-01-12,22.74,22.84,22.44,22.54,REGN,352746,0.13303437967115087,0.13303437967115087,22.54,22.74,22.84,22.44,352746,22.54,22.74,22.84,22.44,352746,0.18999999999999773,0.0084
2007-01-16,22.55,22.74,22.49,22.74,REGN,485276,0.12356751370204287,0.12356751370204287,22.74,22.55,22.74,22.49,485276,22.74,22.55,22.74,22.49,485276,-0.18999999999999773,-0.0084
