date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,24.61,24.85,24.335,24.79,RMD,677600,0.0,0.0,49.58,49.22,49.7,48.67,338800,20.7151,20.5647,20.7652,20.3349,677600,0.0,0.0
2007-01-03,25.04,25.15,24.84,24.93,RMD,1142246,0.017472572125152366,0.017472572125152366,49.85,50.07,50.3,49.68,481000,20.99,21.08,21.18,20.92,1142246,0.4299999999999997,0.0175
2007-01-04,24.91,25.07,24.75,25.03,RMD,513655,0.012190166598943548,0.012190166598943548,50.06,49.81,50.14,49.51,216300,21.08,20.97,21.11,20.85,513655,-0.129999999999999,-0.0052
2007-01-05,24.46,24.75,24.2,24.75,RMD,575873,-0.006095083299471702,-0.006095083299471702,49.5,48.92,49.51,48.4,242500,20.84,20.6,20.85,20.38,575873,-0.4499999999999993,-0.0181
2007-01-08,25.09,25.1,24.66,24.7,RMD,769651,0.019504266558309648,0.019504266558309648,49.4,50.18,50.2,49.33,324100,20.8,21.13,21.14,20.77,769651,0.629999999999999,0.0258
2007-01-09,25.06,25.16,24.9,25.09,RMD,461648,0.01828524989841525,0.01828524989841525,50.19,50.12,50.31,49.8,194400,21.14,21.11,21.19,20.97,461648,-0.030000000000001137,-0.0012
2007-01-10,24.78,25.05,24.66,24.84,RMD,648540,0.00690776107273473,0.00690776107273473,49.69,49.56,50.09,49.31,273100,20.92,20.87,21.09,20.76,648540,-0.2799999999999976,-0.0112
2007-01-11,25.41,25.41,24.9,24.9,RMD,817621,0.03250711093051608,0.03250711093051608,49.8,50.82,50.82,49.8,344300,20.97,21.4,21.4,20.97,817621,0.629999999999999,0.0254
2007-01-12,25.89,26.1,25.66,25.66,RMD,972216,0.05201137748882573,0.05201137748882573,51.32,51.78,52.2,51.32,409400,21.61,21.8,21.98,21.61,972216,0.4800000000000004,0.0189
2007-01-16,26.21,26.63,26.1,26.52,RMD,1818333,0.06501422186103216,0.06501422186103216,53.05,52.42,53.25,52.2,765700,22.34,22.07,22.42,21.98,1818333,0.3200000000000003,0.0124
