date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,2.9116,2.9709,2.9063,2.959,ROL,564974.9999999986,0.0,0.0,22.47,22.11,22.56,22.07,74400,2.4425,2.4033,2.4522,2.399,564974.9999999986,0.0,0.0
2007-01-03,4.43,4.47,4.35,4.39,ROL,96600.0,0.5215002060722626,0.5215002060722626,22.21,22.42,22.64,22.03,96600,3.4,3.43,3.46,3.37,96600.0,1.5183999999999997,0.5215
2007-01-04,4.44,4.49,4.34,4.42,ROL,77000.0,0.5249347437834869,0.5249347437834869,22.37,22.48,22.74,21.97,77000,3.42,3.44,3.48,3.36,77000.0,0.010000000000000675,0.0023
2007-01-05,4.29,4.39,4.29,4.39,ROL,79500.0,0.4734166781151257,0.4734166781151257,22.2,21.69,22.24,21.69,79500,3.4,3.32,3.4,3.32,79500.0,-0.15000000000000036,-0.0338
2007-01-08,4.29,4.3,4.17,4.27,ROL,113000.0,0.4734166781151257,0.4734166781151257,21.61,21.71,21.75,21.09,113000,3.31,3.32,3.33,3.23,113000.0,0.0,0.0
2007-01-09,4.26,4.29,4.19,4.29,ROL,61800.0,0.46311306498145344,0.46311306498145344,21.73,21.56,21.73,21.22,61800,3.32,3.3,3.32,3.25,61800.0,-0.03000000000000025,-0.007
2007-01-10,4.24,4.26,4.19,4.22,ROL,66600.0,0.45624398955900547,0.45624398955900547,21.35,21.46,21.56,21.21,66600,3.27,3.28,3.3,3.25,66600.0,-0.019999999999999574,-0.0047
2007-01-11,4.28,4.32,4.22,4.25,ROL,68600.0,0.46998214040390174,0.46998214040390174,21.53,21.66,21.88,21.36,68600,3.29,3.31,3.35,3.27,68600.0,0.040000000000000036,0.0094
2007-01-12,4.27,4.3,4.24,4.27,ROL,45000.0,0.4665476026926774,0.4665476026926774,21.62,21.62,21.75,21.47,45000,3.31,3.31,3.33,3.28,45000.0,-0.010000000000000675,-0.0023
2007-01-16,4.27,4.33,4.23,4.27,ROL,79500.0,0.4665476026926774,0.4665476026926774,21.63,21.6,21.89,21.43,79500,3.31,3.3,3.35,3.28,79500.0,0.0,0.0
2007-01-17,4.21,4.27,4.21,4.27,ROL,195300.0,0.44594037642533313,0.44594037642533313,21.6,21.33,21.6,21.3,195300,3.3,3.26,3.3,3.26,195300.0,-0.05999999999999961,-0.0141
2007-01-18,4.19,4.22,4.14,4.15,ROL,136200.0,0.43907130100288516,0.43907130100288516,21.02,21.19,21.35,20.97,136200,3.22,3.24,3.27,3.21,136200.0,-0.019999999999999574,-0.0048
2007-01-19,4.17,4.19,4.1,4.17,ROL,55300.0,0.43220222558043686,0.43220222558043686,21.1,21.08,21.19,20.77,55300,3.23,3.23,3.24,3.18,55300.0,-0.020000000000000462,-0.0048
2007-01-22,4.14,4.16,4.07,4.15,ROL,74200.0,0.4218986124467646,0.4218986124467646,21.02,20.97,21.06,20.61,74200,3.22,3.21,3.22,3.15,74200.0,-0.03000000000000025,-0.0072
2007-01-23,4.18,4.21,4.09,4.13,ROL,92600.0,0.43563676329166084,0.43563676329166084,20.92,21.16,21.3,20.68,92600,3.2,3.24,3.26,3.16,92600.0,0.040000000000000036,0.0097
2007-01-24,4.2,4.23,4.16,4.17,ROL,93000.0,0.44250583871410915,0.44250583871410915,21.1,21.28,21.43,21.07,93000,3.23,3.26,3.28,3.22,93000.0,0.020000000000000462,0.0048
2007-01-25,4.16,4.19,4.12,4.17,ROL,149200.0,0.4287676878692129,0.4287676878692129,21.12,21.03,21.22,20.86,149200,3.23,3.22,3.25,3.19,149200.0,-0.040000000000000036,-0.0095
2007-01-26,4.21,4.22,4.13,4.17,ROL,645600.0,0.44594037642533313,0.44594037642533313,21.09,21.32,21.36,20.91,645600,3.23,3.26,3.27,3.2,645600.0,0.04999999999999982,0.012
2007-01-29,4.25,4.27,4.17,4.2,ROL,187800.0,0.45967852727022945,0.45967852727022945,21.24,21.5,21.6,21.1,187800,3.25,3.29,3.3,3.23,187800.0,0.040000000000000036,0.0095
2007-01-30,4.28,4.28,4.21,4.27,ROL,391400.0,0.46998214040390174,0.46998214040390174,21.6,21.66,21.67,21.33,391400,3.3,3.31,3.32,3.26,391400.0,0.03000000000000025,0.0071
