date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2014-07-31,23.0,24.0,22.6,23.0,SYF,56483860,0.0,0.0,23.0,23.0,24.0,22.6,56483860,18.86,18.86,19.68,18.54,56483860,0.0,0.0
2014-08-01,23.0,23.0,22.67,22.9,SYF,6458897,0.0,0.0,22.9,23.0,23.0,22.67,6458897,18.78,18.86,18.86,18.59,6458897,0.0,0.0
2014-08-04,23.0,23.13,22.9,23.1,SYF,3455893,0.0,0.0,23.1,23.0,23.13,22.9,3455893,18.95,18.86,18.97,18.78,3455893,0.0,0.0
2014-08-05,23.0,23.01,22.67,22.99,SYF,4450212,0.0,0.0,22.99,23.0,23.01,22.67,4450212,18.86,18.86,18.87,18.59,4450212,0.0,0.0
2014-08-06,22.98,22.98,22.67,22.8,SYF,6993351,-0.0008695652173912858,-0.0008695652173912858,22.8,22.98,22.98,22.67,6993351,18.7,18.85,18.85,18.59,6993351,-0.019999999999999574,-0.0009
2014-08-07,22.93,23.0,22.8,22.89,SYF,3190375,-0.0030434782608695777,-0.0030434782608695777,22.89,22.93,23.0,22.8,3190375,18.77,18.81,18.86,18.7,3190375,-0.05000000000000071,-0.0022
2014-08-08,22.95,23.03,22.8,22.93,SYF,2855023,-0.0021739130434782917,-0.0021739130434782917,22.93,22.95,23.03,22.8,2855023,18.81,18.82,18.89,18.7,2855023,0.019999999999999574,0.0009
2014-08-11,22.93,22.93,22.8,22.9,SYF,1767541,-0.0030434782608695777,-0.0030434782608695777,22.9,22.93,22.93,22.8,1767541,18.78,18.81,18.81,18.7,1767541,-0.019999999999999574,-0.0009
2014-08-12,23.0,23.0,22.83,22.89,SYF,1549684,0.0,0.0,22.89,23.0,23.0,22.83,1549684,18.77,18.86,18.86,18.73,1549684,0.07000000000000028,0.0031
2014-08-13,23.18,23.23,22.88,23.0,SYF,1659478,0.007826086956521728,0.007826086956521728,23.0,23.18,23.23,22.88,1659478,18.86,19.01,19.05,18.77,1659478,0.17999999999999972,0.0078
2014-08-14,23.01,23.22,22.95,23.2,SYF,1391857,0.0004347826086957201,0.0004347826086957201,23.2,23.01,23.22,22.95,1391857,19.03,18.87,19.05,18.82,1391857,-0.16999999999999815,-0.0073
2014-08-15,23.0,23.08,23.0,23.02,SYF,1948218,0.0,0.0,23.02,23.0,23.08,23.0,1948218,18.88,18.86,18.93,18.86,1948218,-0.010000000000001563,-0.0004
2014-08-18,23.17,23.17,23.02,23.06,SYF,1073659,0.007391304347826161,0.007391304347826161,23.06,23.17,23.17,23.02,1073659,18.91,19.0,19.0,18.88,1073659,0.1700000000000017,0.0074
2014-08-19,24.41,24.43,23.2,23.2,SYF,2852039,0.061304347826086965,0.061304347826086965,23.2,24.41,24.43,23.2,2852039,19.03,20.02,20.04,19.03,2852039,1.2399999999999984,0.0535
2014-08-20,25.19,25.59,24.26,24.3,SYF,3549452,0.09521739130434788,0.09521739130434788,24.3,25.19,25.59,24.26,3549452,19.93,20.66,20.99,19.9,3549452,0.7800000000000011,0.032
2014-08-21,25.39,25.52,24.92,25.47,SYF,2358073,0.1039130434782609,0.1039130434782609,25.47,25.39,25.52,24.92,2358073,20.89,20.82,20.93,20.44,2358073,0.1999999999999993,0.0079
2014-08-22,25.36,25.43,25.1,25.25,SYF,892137,0.10260869565217388,0.10260869565217388,25.25,25.36,25.43,25.1,892137,20.71,20.8,20.86,20.59,892137,-0.030000000000001137,-0.0012
2014-08-25,25.12,25.4,24.88,25.37,SYF,1185585,0.0921739130434783,0.0921739130434783,25.37,25.12,25.4,24.88,1185585,20.81,20.6,20.83,20.41,1185585,-0.23999999999999844,-0.0095
2014-08-26,25.05,25.1,24.94,25.0,SYF,951035,0.08913043478260872,0.08913043478260872,25.0,25.05,25.1,24.94,951035,20.51,20.55,20.59,20.46,951035,-0.07000000000000028,-0.0028
2014-08-27,25.47,25.54,24.95,25.0,SYF,1230580,0.10739130434782604,0.10739130434782604,25.0,25.47,25.54,24.95,1230580,20.51,20.89,20.95,20.46,1230580,0.41999999999999815,0.0168
2014-08-28,25.69,25.84,25.31,25.4,SYF,982632,0.11695652173913049,0.11695652173913049,25.4,25.69,25.84,25.31,982632,20.83,21.07,21.19,20.76,982632,0.22000000000000242,0.0086
2014-08-29,25.79,25.94,25.45,25.81,SYF,982178,0.12130434782608691,0.12130434782608691,25.81,25.79,25.94,25.45,982178,21.17,21.15,21.28,20.87,982178,0.09999999999999787,0.0039
2014-09-01,25.79,25.9,25.52,25.7,SYF,982178,0.12130434782608691,0.12130434782608691,25.7,25.79,25.9,25.52,982178,21.3398,21.4145,21.5058,21.1903,982178,0.0,0.0
2014-09-02,25.79,25.9,25.52,25.7,SYF,1873183,0.12130434782608691,0.12130434782608691,25.7,25.79,25.9,25.52,1873183,21.08,21.15,21.24,20.93,1873183,0.0,0.0
2014-09-03,25.79,26.0,25.63,25.99,SYF,996517,0.12130434782608691,0.12130434782608691,25.99,25.79,26.0,25.63,996517,21.32,21.15,21.32,21.02,996517,0.0,0.0
2014-09-04,25.7,25.75,25.51,25.53,SYF,1117454,0.11739130434782606,0.11739130434782606,25.53,25.7,25.75,25.51,1117454,20.94,21.08,21.12,20.92,1117454,-0.08999999999999986,-0.0035
2014-09-05,25.77,26.02,25.62,25.7,SYF,1090378,0.12043478260869564,0.12043478260869564,25.7,25.77,26.02,25.62,1090378,21.08,21.14,21.34,21.01,1090378,0.07000000000000028,0.0027
2014-09-08,24.84,25.98,24.62,25.82,SYF,2535161,0.07999999999999999,0.07999999999999999,25.82,24.84,25.98,24.62,2535161,21.18,20.37,21.31,20.19,2535161,-0.9299999999999997,-0.0361
2014-09-09,25.04,25.6,24.7,25.3,SYF,3608750,0.08869565217391301,0.08869565217391301,25.3,25.04,25.6,24.7,3608750,20.75,20.54,21.0,20.26,3608750,0.1999999999999993,0.0081
2014-09-10,24.7,25.3,24.69,25.19,SYF,1974609,0.07391304347826085,0.07391304347826085,25.19,24.7,25.3,24.69,1974609,20.66,20.26,20.76,20.25,1974609,-0.33999999999999986,-0.0136
2014-09-11,24.65,25.02,24.63,24.75,SYF,2029069,0.07173913043478254,0.07173913043478254,24.75,24.65,25.02,24.63,2029069,20.3,20.22,20.52,20.2,2029069,-0.05000000000000071,-0.002
