date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,40.13,40.78,40.05,40.18,TDY,123600,0.0,0.0,40.18,40.13,40.78,40.05,123600,40.18,40.13,40.78,40.05,123600,0.0,0.0
2007-01-03,39.54,40.3,39.0,40.3,TDY,253700,-0.014702217792175514,-0.014702217792175514,40.3,39.54,40.3,39.0,253700,40.3,39.54,40.3,39.0,253700,-0.5900000000000034,-0.0147
2007-01-04,39.69,40.0,38.78,39.54,TDY,138400,-0.010964365811113999,-0.010964365811113999,39.54,39.69,40.0,38.78,138400,39.54,39.69,40.0,38.78,138400,0.14999999999999858,0.0038
2007-01-05,39.34,39.71,38.78,39.13,TDY,143300,-0.019686020433590808,-0.019686020433590808,39.13,39.34,39.71,38.78,143300,39.13,39.34,39.71,38.78,143300,-0.3499999999999943,-0.0088
2007-01-08,39.74,39.91,39.07,39.22,TDY,139500,-0.009718415150760043,-0.009718415150760043,39.22,39.74,39.91,39.07,139500,39.22,39.74,39.91,39.07,139500,0.3999999999999986,0.0102
2007-01-09,39.18,40.0,38.62,39.72,TDY,128600,-0.02367306254672322,-0.02367306254672322,39.72,39.18,40.0,38.62,128600,39.72,39.18,40.0,38.62,128600,-0.5600000000000023,-0.0141
2007-01-10,39.2,39.21,38.48,38.8,TDY,129600,-0.023174682282581602,-0.023174682282581602,38.8,39.2,39.21,38.48,129600,38.8,39.2,39.21,38.48,129600,0.020000000000003126,0.0005
2007-01-11,40.08,40.65,39.22,39.32,TDY,112100,-0.0012459506603539562,-0.0012459506603539562,39.32,40.08,40.65,39.22,112100,39.32,40.08,40.65,39.22,112100,0.8799999999999955,0.0224
2007-01-12,40.31,40.58,39.78,40.0,TDY,117400,0.004485422377273853,0.004485422377273853,40.0,40.31,40.58,39.78,117400,40.0,40.31,40.58,39.78,117400,0.23000000000000398,0.0057
2007-01-16,40.14,40.55,39.94,40.5,TDY,145600,0.0002491901320707204,0.0002491901320707204,40.5,40.14,40.55,39.94,145600,40.5,40.14,40.55,39.94,145600,-0.1700000000000017,-0.0042
2007-01-17,40.03,40.73,39.87,40.05,TDY,144200,-0.002491901320707735,-0.002491901320707735,40.05,40.03,40.73,39.87,144200,40.05,40.03,40.73,39.87,144200,-0.10999999999999943,-0.0027
2007-01-18,39.03,40.05,38.73,39.55,TDY,202100,-0.027410914527784734,-0.027410914527784734,39.55,39.03,40.05,38.73,202100,39.55,39.03,40.05,38.73,202100,-1.0,-0.025
2007-01-19,39.45,39.78,38.87,39.13,TDY,82900,-0.016944928980812353,-0.016944928980812353,39.13,39.45,39.78,38.87,82900,39.13,39.45,39.78,38.87,82900,0.4200000000000017,0.0108
2007-01-22,39.02,39.49,38.42,39.49,TDY,144100,-0.027660104659855453,-0.027660104659855453,39.49,39.02,39.49,38.42,144100,39.49,39.02,39.49,38.42,144100,-0.4299999999999997,-0.0109
2007-01-23,39.6,39.99,38.95,39.04,TDY,112400,-0.013207076999750838,-0.013207076999750838,39.04,39.6,39.99,38.95,112400,39.04,39.6,39.99,38.95,112400,0.5799999999999983,0.0149
