date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,31.2624,31.6618,31.2224,31.2943,TT,1453558.4647739213,0.0,0.0,39.17,39.13,39.63,39.08,1161300,26.4954,26.4684,26.8066,26.4346,1453558.4647739213,0.0,0.0
2007-01-03,38.81,39.58,38.56,39.46,TT,1709400.0,0.24142740160704243,0.24142740160704243,39.46,38.81,39.58,38.56,1709400,36.63,36.03,36.74,35.8,1709400.0,7.547600000000003,0.2414
2007-01-04,38.75,38.92,38.25,38.81,TT,1542600.0,0.2395081631608578,0.2395081631608578,38.81,38.75,38.92,38.25,1542600,36.03,35.97,36.13,35.51,1542600.0,-0.060000000000002274,-0.0015
2007-01-05,39.39,39.62,39.0,39.41,TT,2391900.0,0.2599800399201597,0.2599800399201597,39.41,39.39,39.62,39.0,2391900,36.58,36.57,36.78,36.2,2391900.0,0.6400000000000006,0.0165
2007-01-08,39.62,39.88,39.0,39.33,TT,2084400.0,0.2673371206305337,0.2673371206305337,39.33,39.62,39.88,39.0,2084400,36.51,36.78,37.02,36.2,2084400.0,0.22999999999999687,0.0058
2007-01-09,40.21,40.4,39.58,39.69,TT,2382900.0,0.2862096320180153,0.2862096320180153,39.69,40.21,40.4,39.58,2382900,36.84,37.33,37.5,36.74,2382900.0,0.5900000000000034,0.0149
2007-01-10,40.54,40.76,39.51,40.21,TT,1904800.0,0.29676544347203027,0.29676544347203027,40.21,40.54,40.76,39.51,1904800,37.33,37.63,37.84,36.68,1904800.0,0.3299999999999983,0.0082
2007-01-11,40.5,40.75,40.33,40.55,TT,2490300.0,0.29548595117457394,0.29548595117457394,40.55,40.5,40.75,40.33,2490300,37.64,37.6,37.83,37.44,2490300.0,-0.03999999999999915,-0.001
2007-01-12,40.69,40.74,40.27,40.37,TT,1368000.0,0.30156353958749166,0.30156353958749166,40.37,40.69,40.74,40.27,1368000,37.48,37.77,37.82,37.38,1368000.0,0.18999999999999773,0.0047
2007-01-16,40.62,40.74,40.18,40.65,TT,1952700.0,0.299324428066943,0.299324428066943,40.65,40.62,40.74,40.18,1952700,37.74,37.71,37.82,37.3,1952700.0,-0.07000000000000028,-0.0017
2007-01-17,40.92,41.17,40.65,40.7,TT,1669000.0,0.3089206202978659,0.3089206202978659,40.7,40.92,41.17,40.65,1669000,37.78,37.99,38.22,37.74,1669000.0,0.30000000000000426,0.0074
2007-01-18,41.07,41.54,40.89,41.32,TT,1631700.0,0.3137187164133272,0.3137187164133272,41.32,41.07,41.54,40.89,1631700,38.36,38.13,38.56,37.96,1631700.0,0.14999999999999858,0.0037
