date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,44.0,44.39,43.13,43.49,UAL,1325620,0.0,0.0,43.49,44.0,44.39,43.13,1325620,40.6694,41.1463,41.511,40.3327,1325620,0.0,0.0
2007-01-03,46.36,47.18,44.75,44.95,UAL,2258684,0.05363636363636362,0.05363636363636362,44.95,46.36,47.18,44.75,2258684,44.95,46.36,47.18,44.75,2258684,2.3599999999999994,0.0536
2007-01-04,47.35,47.75,45.51,46.01,UAL,1392368,0.07613636363636367,0.07613636363636367,46.01,47.35,47.75,45.51,1392368,46.01,47.35,47.75,45.51,1392368,0.990000000000002,0.0214
2007-01-05,46.55,47.35,45.83,46.5,UAL,1085160,0.05795454545454539,0.05795454545454539,46.5,46.55,47.35,45.83,1085160,46.5,46.55,47.35,45.83,1085160,-0.8000000000000043,-0.0169
2007-01-08,46.8,47.71,44.5,45.49,UAL,1924328,0.06363636363636357,0.06363636363636357,45.49,46.8,47.71,44.5,1924328,45.49,46.8,47.71,44.5,1924328,0.25,0.0054
2007-01-09,46.84,48.19,46.46,48.17,UAL,1782772,0.06454545454545463,0.06454545454545463,48.17,46.84,48.19,46.46,1782772,48.17,46.84,48.19,46.46,1782772,0.04000000000000625,0.0009
2007-01-10,48.85,49.23,45.9,47.63,UAL,2499178,0.11022727272727276,0.11022727272727276,47.63,48.85,49.23,45.9,2499178,47.63,48.85,49.23,45.9,2499178,2.009999999999998,0.0429
2007-01-11,50.08,50.62,48.17,48.38,UAL,2298651,0.13818181818181816,0.13818181818181816,48.38,50.08,50.62,48.17,2298651,48.38,50.08,50.62,48.17,2298651,1.2299999999999969,0.0252
2007-01-12,50.16,51.55,49.8,49.8,UAL,2071689,0.13999999999999993,0.13999999999999993,49.8,50.16,51.55,49.8,2071689,49.8,50.16,51.55,49.8,2071689,0.0799999999999983,0.0016
2007-01-16,51.21,51.56,49.59,49.82,UAL,1438541,0.16386363636363638,0.16386363636363638,49.82,51.21,51.56,49.59,1438541,49.82,51.21,51.56,49.59,1438541,1.0500000000000043,0.0209
2007-01-17,49.1,51.38,48.36,50.5,UAL,1705887,0.11590909090909095,0.11590909090909095,50.5,49.1,51.38,48.36,1705887,50.5,49.1,51.38,48.36,1705887,-2.1099999999999994,-0.0412
2007-01-18,49.61,50.6,48.58,48.73,UAL,2088129,0.12749999999999997,0.12749999999999997,48.73,49.61,50.6,48.58,2088129,48.73,49.61,50.6,48.58,2088129,0.509999999999998,0.0104
2007-01-19,49.15,49.81,48.12,49.8,UAL,895887,0.11704545454545451,0.11704545454545451,49.8,49.15,49.81,48.12,895887,49.8,49.15,49.81,48.12,895887,-0.46000000000000085,-0.0093
2007-01-22,48.75,49.15,46.95,49.09,UAL,1266125,0.10795454545454546,0.10795454545454546,49.09,48.75,49.15,46.95,1266125,49.09,48.75,49.15,46.95,1266125,-0.3999999999999986,-0.0081
2007-01-23,44.81,46.95,44.53,45.97,UAL,5131573,0.01840909090909096,0.01840909090909096,45.97,44.81,46.95,44.53,5131573,45.97,44.81,46.95,44.53,5131573,-3.9399999999999977,-0.0808
2007-01-24,45.68,45.89,43.65,44.73,UAL,2238055,0.03818181818181818,0.03818181818181818,44.73,45.68,45.89,43.65,2238055,44.73,45.68,45.89,43.65,2238055,0.8699999999999974,0.0194
2007-01-25,45.19,45.87,44.58,45.52,UAL,753207,0.027045454545454494,0.027045454545454494,45.52,45.19,45.87,44.58,753207,45.52,45.19,45.87,44.58,753207,-0.490000000000002,-0.0107
