date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,74.98,75.41,74.5,74.77,UPS,2752600,0.0,0.0,74.77,74.98,75.41,74.5,2752600,46.4479,46.5784,46.8455,46.2802,2752600,0.0,0.0
2007-01-03,74.97,75.98,74.4,75.45,UPS,3955300,-0.00013336889837296765,-0.00013336889837296765,75.45,74.97,75.98,74.4,3955300,45.32,45.03,45.64,44.69,3955300,-0.010000000000005116,-0.0001
2007-01-04,75.09,75.5,74.52,75.25,UPS,2307000,0.0014670578821018862,0.0014670578821018862,75.25,75.09,75.5,74.52,2307000,45.2,45.11,45.35,44.76,2307000,0.12000000000000455,0.0016
2007-01-05,74.15,75.04,73.62,75.04,UPS,3602400,-0.01106961856495063,-0.01106961856495063,75.04,74.15,75.04,73.62,3602400,45.08,44.54,45.08,44.22,3602400,-0.9399999999999977,-0.0125
2007-01-08,74.38,74.59,73.74,74.16,UPS,2354800,-0.00800213390237408,-0.00800213390237408,74.16,74.38,74.59,73.74,2354800,44.55,44.68,44.81,44.3,2354800,0.22999999999998977,0.0031
2007-01-09,74.08,75.0,73.91,74.98,UPS,3322900,-0.012003200853561024,-0.012003200853561024,74.98,74.08,75.0,73.91,3322900,45.04,44.5,45.05,44.4,3322900,-0.29999999999999716,-0.004
2007-01-10,73.63,73.85,73.25,73.75,UPS,2895100,-0.018004801280341536,-0.018004801280341536,73.75,73.63,73.85,73.25,2895100,44.3,44.23,44.36,44.0,2895100,-0.45000000000000284,-0.0061
2007-01-11,73.65,73.88,73.55,73.63,UPS,3060900,-0.017738063483595603,-0.017738063483595603,73.63,73.65,73.88,73.55,3060900,44.23,44.24,44.38,44.18,3060900,0.020000000000010232,0.0003
2007-01-12,74.44,74.47,73.35,73.65,UPS,3027600,-0.007201920512136653,-0.007201920512136653,73.65,74.44,74.47,73.35,3027600,44.24,44.72,44.73,44.06,3027600,0.789999999999992,0.0107
2007-01-16,74.88,75.35,74.61,74.8,UPS,3693000,-0.0013336889837291081,-0.0013336889837291081,74.8,74.88,75.35,74.61,3693000,44.93,44.98,45.26,44.82,3693000,0.4399999999999977,0.0059
2007-01-17,75.0,75.22,74.68,74.95,UPS,2737600,0.0002667377967457458,0.0002667377967457458,74.95,75.0,75.22,74.68,2737600,45.02,45.05,45.18,44.86,2737600,0.12000000000000455,0.0016
