date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,48.97,49.45,48.87,48.9,WAT,651800,0.0,0.0,48.9,48.97,49.45,48.87,651800,48.9,48.97,49.45,48.87,651800,0.0,0.0
2007-01-03,48.88,49.84,48.55,48.7,WAT,979400,-0.0018378599142331285,-0.0018378599142331285,48.7,48.88,49.84,48.55,979400,48.7,48.88,49.84,48.55,979400,-0.0899999999999963,-0.0018
2007-01-04,49.22,49.35,48.75,48.95,WAT,480400,0.005105166428425567,0.005105166428425567,48.95,49.22,49.35,48.75,480400,48.95,49.22,49.35,48.75,480400,0.3399999999999963,0.007
2007-01-05,48.67,49.45,48.62,49.23,WAT,489000,-0.006126199714110622,-0.006126199714110622,49.23,48.67,49.45,48.62,489000,49.23,48.67,49.45,48.62,489000,-0.5499999999999972,-0.0112
2007-01-08,50.55,50.84,48.64,48.7,WAT,1314300,0.032264651827649544,0.032264651827649544,48.7,50.55,50.84,48.64,1314300,48.7,50.55,50.84,48.64,1314300,1.8799999999999955,0.0386
2007-01-09,51.14,51.23,50.33,50.53,WAT,824700,0.044312844598733955,0.044312844598733955,50.53,51.14,51.23,50.33,824700,50.53,51.14,51.23,50.33,824700,0.5900000000000034,0.0117
2007-01-10,51.9,52.0,50.84,50.94,WAT,649400,0.05983255054114764,0.05983255054114764,50.94,51.9,52.0,50.84,649400,50.94,51.9,52.0,50.84,649400,0.759999999999998,0.0149
2007-01-11,53.76,53.85,52.06,52.11,WAT,1146300,0.09781498876863384,0.09781498876863384,52.11,53.76,53.85,52.06,1146300,52.11,53.76,53.85,52.06,1146300,1.8599999999999994,0.0358
2007-01-12,54.71,55.5,53.84,53.85,WAT,1660000,0.11721462119665105,0.11721462119665105,53.85,54.71,55.5,53.84,1660000,53.85,54.71,55.5,53.84,1660000,0.9500000000000028,0.0177
2007-01-16,55.05,55.57,54.45,54.45,WAT,963300,0.12415764753930975,0.12415764753930975,54.45,55.05,55.57,54.45,963300,54.45,55.05,55.57,54.45,963300,0.3399999999999963,0.0062
2007-01-17,55.32,56.0,54.75,54.85,WAT,896100,0.12967122728200942,0.12967122728200942,54.85,55.32,56.0,54.75,896100,54.85,55.32,56.0,54.75,896100,0.2700000000000031,0.0049
2007-01-18,54.95,55.56,54.65,54.73,WAT,1000900,0.12211558096793963,0.12211558096793963,54.73,54.95,55.56,54.65,1000900,54.73,54.95,55.56,54.65,1000900,-0.36999999999999744,-0.0067
2007-01-19,54.96,55.2,54.58,54.98,WAT,797600,0.12231978762507661,0.12231978762507661,54.98,54.96,55.2,54.58,797600,54.98,54.96,55.2,54.58,797600,0.00999999999999801,0.0002
2007-01-22,54.88,55.05,54.55,54.55,WAT,988100,0.12068613436798048,0.12068613436798048,54.55,54.88,55.05,54.55,988100,54.55,54.88,55.05,54.55,988100,-0.0799999999999983,-0.0015
2007-01-23,54.97,55.18,54.64,54.88,WAT,1120400,0.1225239942822136,0.1225239942822136,54.88,54.97,55.18,54.64,1120400,54.88,54.97,55.18,54.64,1120400,0.0899999999999963,0.0016
2007-01-24,56.59,57.76,55.99,56.4,WAT,2210900,0.15560547273841138,0.15560547273841138,56.4,56.59,57.76,55.99,2210900,56.4,56.59,57.76,55.99,2210900,1.6200000000000045,0.0295
2007-01-25,56.25,56.79,55.81,56.59,WAT,1457800,0.14866244639575252,0.14866244639575252,56.59,56.25,56.79,55.81,1457800,56.59,56.25,56.79,55.81,1457800,-0.3400000000000034,-0.006
2007-01-26,56.07,56.5,55.37,56.5,WAT,912900,0.14498672656728612,0.14498672656728612,56.5,56.07,56.5,55.37,912900,56.5,56.07,56.5,55.37,912900,-0.17999999999999972,-0.0032
2007-01-29,56.05,56.31,55.8,55.82,WAT,907900,0.14457831325301201,0.14457831325301201,55.82,56.05,56.31,55.8,907900,55.82,56.05,56.31,55.8,907900,-0.020000000000003126,-0.0004
2007-01-30,56.1,56.4,55.63,56.25,WAT,894300,0.14559934653869722,0.14559934653869722,56.25,56.1,56.4,55.63,894300,56.25,56.1,56.4,55.63,894300,0.05000000000000426,0.0009
2007-01-31,56.69,56.88,55.81,56.05,WAT,1037100,0.15764753930978148,0.15764753930978148,56.05,56.69,56.88,55.81,1037100,56.05,56.69,56.88,55.81,1037100,0.5899999999999963,0.0105
2007-02-01,56.73,56.82,56.46,56.6,WAT,969800,0.15846436593832955,0.15846436593832955,56.6,56.73,56.82,56.46,969800,56.6,56.73,56.82,56.46,969800,0.03999999999999915,0.0007
2007-02-02,56.26,56.87,56.06,56.06,WAT,1129900,0.1488666530528895,0.1488666530528895,56.06,56.26,56.87,56.06,1129900,56.06,56.26,56.87,56.06,1129900,-0.46999999999999886,-0.0083
2007-02-05,56.5,56.8,56.08,56.23,WAT,1028700,0.15376761282417808,0.15376761282417808,56.23,56.5,56.8,56.08,1028700,56.23,56.5,56.8,56.08,1028700,0.240000000000002,0.0043
2007-02-06,56.53,56.8,56.43,56.45,WAT,1092400,0.15438023279558918,0.15438023279558918,56.45,56.53,56.8,56.43,1092400,56.45,56.53,56.8,56.43,1092400,0.030000000000001137,0.0005
2007-02-07,56.24,56.75,56.11,56.55,WAT,675000,0.14845823973861555,0.14845823973861555,56.55,56.24,56.75,56.11,675000,56.55,56.24,56.75,56.11,675000,-0.28999999999999915,-0.0051
2007-02-08,56.4,56.53,55.93,56.29,WAT,650200,0.15172554625280785,0.15172554625280785,56.29,56.4,56.53,55.93,650200,56.29,56.4,56.53,55.93,650200,0.1599999999999966,0.0028
2007-02-09,56.21,56.45,55.76,56.45,WAT,565000,0.14784561976720445,0.14784561976720445,56.45,56.21,56.45,55.76,565000,56.45,56.21,56.45,55.76,565000,-0.18999999999999773,-0.0034
2007-02-12,56.29,56.4,55.94,56.3,WAT,642493,0.1494792730243006,0.1494792730243006,56.3,56.29,56.4,55.94,642493,56.3,56.29,56.4,55.94,642493,0.0799999999999983,0.0014
2007-02-13,56.67,56.84,56.35,56.45,WAT,558376,0.15723912599550752,0.15723912599550752,56.45,56.67,56.84,56.35,558376,56.45,56.67,56.84,56.35,558376,0.38000000000000256,0.0068
2007-02-14,57.45,57.63,56.65,56.74,WAT,745743,0.17316724525219532,0.17316724525219532,56.74,57.45,57.63,56.65,745743,56.74,57.45,57.63,56.65,745743,0.7800000000000011,0.0138
2007-02-15,58.04,58.12,57.46,57.46,WAT,687100,0.18521543802327958,0.18521543802327958,57.46,58.04,58.12,57.46,687100,57.46,58.04,58.12,57.46,687100,0.5899999999999963,0.0103
2007-02-16,58.0,58.27,57.75,58.0,WAT,715900,0.1843986113947315,0.1843986113947315,58.0,58.0,58.27,57.75,715900,58.0,58.0,58.27,57.75,715900,-0.03999999999999915,-0.0007
2007-02-20,58.4,58.48,57.46,58.0,WAT,466800,0.19256687768021238,0.19256687768021238,58.0,58.4,58.48,57.46,466800,58.0,58.4,58.48,57.46,466800,0.3999999999999986,0.0069
2007-02-21,58.3,58.61,58.13,58.4,WAT,680000,0.19052481110884212,0.19052481110884212,58.4,58.3,58.61,58.13,680000,58.4,58.3,58.61,58.13,680000,-0.10000000000000142,-0.0017
2007-02-22,56.15,57.26,55.98,57.0,WAT,1582700,0.14662037982438228,0.14662037982438228,57.0,56.15,57.26,55.98,1582700,57.0,56.15,57.26,55.98,1582700,-2.1499999999999986,-0.0369
