date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uOpen,uClose,uHigh,uLow,uVolume,fOpen,fClose,fHigh,fLow,fVolume,change,changePercent
2006-12-29,43.02,43.02,42.1,42.32,WELL,417600,0.0,0.0,42.32,43.02,43.02,42.1,417600,36.2978,36.8982,36.8982,36.1091,417600,0.0,0.0
2007-01-03,43.06,43.06,42.62,43.0,WELL,1119200,0.0009298000929799894,0.0009298000929799894,43.0,43.06,43.06,42.62,1119200,36.881,36.9325,36.9325,36.5551,1119200,0.03999999999999915,0.0009
2007-01-04,43.54,43.54,42.8,43.1,WELL,594300,0.012087401208740028,0.012087401208740028,43.1,43.54,43.54,42.8,594300,36.9668,37.3442,37.3442,36.7095,594300,0.4799999999999969,0.0111
2007-01-05,43.55,43.97,43.4,43.55,WELL,1123300,0.012319851231984983,0.012319851231984983,43.55,43.55,43.97,43.4,1123300,37.3527,37.3527,37.713,37.2241,1123300,0.00999999999999801,0.0002
2007-01-08,43.74,43.94,43.4,43.63,WELL,361100,0.016736401673640138,0.016736401673640138,43.63,43.74,43.94,43.4,361100,37.4214,37.5157,37.6872,37.2241,361100,0.19000000000000483,0.0044
2007-01-09,43.97,43.99,43.6,43.9,WELL,465600,0.02208275220827512,0.02208275220827512,43.9,43.97,43.99,43.6,465600,37.6529,37.713,37.7301,37.3956,465600,0.22999999999999687,0.0053
2007-01-10,44.6,44.68,43.67,44.03,WELL,403600,0.03672710367271032,0.03672710367271032,44.03,44.6,44.68,43.67,403600,37.7644,38.2533,38.3219,37.4557,403600,0.6300000000000026,0.0143
2007-01-11,44.92,45.16,44.6,44.6,WELL,551100,0.04416550441655041,0.04416550441655041,44.6,44.92,45.16,44.6,551100,38.2533,38.5278,38.7336,38.2533,551100,0.3200000000000003,0.0072
2007-01-12,44.79,45.45,44.69,45.45,WELL,476700,0.04114365411436532,0.04114365411436532,45.45,44.79,45.45,44.69,476700,38.9824,38.4163,38.9824,38.3305,476700,-0.13000000000000256,-0.0029
2007-01-16,45.22,45.29,44.8,44.97,WELL,434800,0.05113900511390041,0.05113900511390041,44.97,45.22,45.29,44.8,434800,38.5707,38.7851,38.8451,38.4249,434800,0.4299999999999997,0.0096
2007-01-17,45.46,45.62,44.41,45.06,WELL,486200,0.05671780567178051,0.05671780567178051,45.06,45.46,45.62,44.41,486200,38.6479,38.9909,39.1282,38.0904,486200,0.240000000000002,0.0053
